keywords,counts
Myceliophthora thermophila,49
Laccase,23
Cellulase,10
Filamentous fungi,8
Pichia pastoris,8
Lytic polysaccharide monooxygenase,8
Thermophilic fungi,7
Thermostability,7
Metabolic engineering,7
Sugarcane bagasse,5
Myceliophthora,5
Xylanase,5
Cellulases,5
Cellulose,5
Lpmo,5
Lignocellulose,5
Decolorization,4
Thermothelomyces thermophilus,4
Beta-glucosidase,4
Xylan,4
Processivity,4
Myceliophthora thermophila c1,4
Solid-state fermentation,4
Lignin,4
Biorefinery,4
Xyloglucanase,4
Crispr/cas9,4
Crispr-cas9,4
Enzymatic hydrolysis,4
Ferulic acid,4
Thermothelomyces thermophila,4
Lignocellulosic biomass,4
X-ray structure,3
Enzyme immobilization,3
Cellobiose,3
Beta-1,3
Cellobiohydrolase,3
Enzymes,3
Cazy,3
Xyloglucan,3
Trichoderma reesei,3
Kraft lignin,3
Cellulose degradation,3
Plant biomass,3
Biofuels,3
Chitosan,3
Saccharification,3
Enzymatic saccharification,3
Immobilization,3
Polymerization,3
Antioxidant,3
Xylooligosaccharides,2
Flavin adenine dinucleotide (fad),2
Chitin,2
Crystal structure,2
Covalent immobilization,2
Protein engineering,2
Wood hydrophobization,2
Oxidase,2
Xylobiohydrolase,2
Xylose,2
Rna-seq,2
Starch,2
Functionalization,2
Ethanol,2
Characterization,2
Gh30 xylanase,2
Phenolics,2
Ionic liquid,2
Bacterial cellulose,2
Pretreatment,2
Response surface methodology,2
Endoglucanase,2
Polyphenol oxidase,2
Tyrosinase,2
Biocatalysis,2
Textile dyes,2
Heterologous production,2
Endoxylanase,2
Gh74 family,2
Site-directed mutagenesis,2
Mode of action,2
Malic acid,2
Hydrolysis,2
Glucoamylase,2
Genome editing,2
Feruloyl esterase,2
Oxidation,2
Stability,2
Aspergillus niger,2
Enzymatic oxidation,2
Efficacy,2
Synergy,2
Thermophilic mould,2
N-acetylglucosamine,2
Lignocellulolytic enzymes,2
Protease,2
Cellulose saccharification,2
Biomass,2
Transcriptomic profiles,2
Transcription factor,2
Crispr/cas9 system,2
Molecular docking,2
Cellulose hydrolysis,2
Glycoside hydrolase,2
Dose-response treatment,1
Melting temperature,1
Laccase-mediator systems,1
Hpi,1
1-hydroxybenzotriazol (hbt),1
Hbt,1
Coatings,1
Electron paramagnetic resonance (epr),1
Abts,1
4-galactanase,1
Wild type,1
Wt,1
Talaromyces stipitatus galactanase,1
Tsgal,1
Tm,1
Azcl-galactan,1
Protein design,1
4-galactanase from myceliophthora thermophila,1
Mtgal,1
Gh53,1
Differential scanning calorimetry,1
Conductive cotton,1
Dsc,1
Polyaniline,1
Computational prediction,1
Carbohydrate active enzyme database,1
4-galactanase from aspergillus aculeatus,1
Hymenaea courbaril,1
Aagal,1
Tempo,1
Trametes versicolor,1
Phenol biodegradation,1
Fixed bioreactor,1
Fuel cells,1
Heterologous protein expression,1
Enzyme electrodes,1
Aryl-alcohol oxidase,1
Lignin-degrading enzymes,1
Aaox,1
Aa3,1
Process optimization,1
Biografting,1
Phenols,1
Ppo,1
Catechol oxidase,1
Basidiomycota,1
Ascomycota,1
Agaricus bisporus,1
Phenol grafting,1
Oxidation product,1
Different fungal species,1
Gum arabic,1
Kinetics,1
Cytotoxicity,1
Dye,1
Pretreated corn cobs,1
Ethyl ferulate,1
Bacillus subtilis subsp. subtilis jjbs250,1
Scale-up,1
Packing density,1
Azurine-crosslinked galactan,1
Beta-xylosidase,1
Oxygen reduction,1
Electron microscopy (em),1
Rna-dependent rna polymerase,1
Rna polymerase,1
