keywords,counts
Neurospora crassa,212
Neurospora,64
Fungi,41
Filamentous fungi,35
Circadian clock,33
Cellulase,20
Cell fusion,19
Saccharomyces cerevisiae,16
Frq,13
Cellulose,13
Gene expression,12
Dna methylation,12
Heterochromatin,11
Mitochondria,11
Cell wall,11
Sexual development,10
Genomics,10
Meiosis,10
Metabolic engineering,10
Trichoderma reesei,10
Genetics,9
Lignocellulose,9
Transcription factor,9
Lytic polysaccharide monooxygenase,9
Circadian rhythm,9
Circadian rhythms,9
Circadian,9
Gene regulation,9
Frequency,8
Transcription factors,8
Aspergillus nidulans,8
Optogenetics,8
Beta-glucosidase,8
N. crassa,8
Transcriptomics,8
Yeast,8
Conidiation,8
Rna-seq,8
Allorecognition,8
Ergothioneine,7
Rna interference (rnai),7
Heterologous expression,7
Proteomics,7
Cell death,7
Map kinase,7
Epigenetics,7
Cellodextrin transporter,7
Biofuel,7
Phosphorylation,7
Aa9,6
Signal transduction,6
Meiotic silencing by unpaired dna (msud),6
Stress response,6
Pichia pastoris,6
Virulence,6
Functional genomics,6
Alternative oxidase,6
Heterokaryon incompatibility,6
Lpmo,6
Rip,6
Spitzenkorper,6
Ergosterol,6
Translation,6
Photoreceptor,5
Evolution,5
Aspergillus fumigatus,5
Fungal cell wall,5
Reactive oxygen species,5
Asexual development,5
Antifungal activity,5
Oxidative stress,5
Cellobiose dehydrogenase,5
Vivid,5
Cell biology,5
Multicellularity,5
Plasma membrane,5
Small rna,5
Transcriptome,5
Secondary metabolism,5
Ascomycete,5
Fungal growth,5
Photobiology,5
Gene silencing,5
Biofuels,5
Synthetic biology,5
Transcription,5
Chromatin,5
Chemotropism,5
Chitin,5
Facultative heterochromatin,5
Xylitol,5
Vdac,5
Hydrogen peroxide,5
Escherichia coli,5
Transcriptional profiling,5
Antibacterial activity,4
Rna interference,4
Protein-protein interaction,4
Bioenergy,4
Prc2,4
Anastomosis,4
Cellobiose,4
Chromosomes,4
Polysaccharide monooxygenase,4
Mitochondrial porin,4
Actin,4
Azoles,4
Biosynthesis,4
Chitin synthase,4
Catalase-3,4
Germination,4
Aspergillus,4
Cellulases,4
Calcium,4
Repeat-induced point mutation,4
Hemicellulose,4
Molybdenum cofactor,4
Rna silencing,4
Wc-1,4
Genome defense,4
Msud,4
Transcriptional regulation,4
Light,4
Fusarium,4
Protein engineering,4
Systems biology,4
Natural variation,4
Botrytis cinerea,4
H3k27 methylation,4
Introgression,4
Aging,4
Beta-1,4
Entrainment,4
Homologous recombination,4
Map kinase signaling,4
Microtubules,4
White collar,4
Nitrate reductase,4
Secondary metabolites,4
Biorefinery,4
Ros,4
Bioremediation,3
Autophagy,3
Velvet complex,3
Alternative splicing,3
Dna methyltransferase,3
Eif2alpha,3
Frq-less oscillator,3
Oscillator,3
Post-translational modification,3
Epichloe festucae,3
Cellulosic ethanol,3
Xylanase,3
Cell wall remodeling,3
Galactomannan,3
Lytic polysaccharide monooxygenases,3
Fungal genetics,3
Balancing selection,3
Xylose,3
Cell-to-cell communication,3
Appressorium,3
Hp1,3
Lytic polysaccharide monooxygenase (lpmo),3
Carotenoid,3
Pathogen,3
Cell-cell fusion,3
White collar-1,3
Protein phosphorylation,3
Gal4,3
Copper monooxygenase,3
Fungal development,3
Clock-controlled genes,3
Molecular chaperone,3
Arabidopsis thaliana,3
Fungal,3
Ascomycetes,3
Ribosome,3
X-ray crystallography,3
Cryo-electron microscopy,3
Podospora anserina,3
Xylose reductase,3
Symbiosis,3
Signaling,3
Photoreceptors,3
Hypocrea jecorina,3
Penicillium chrysogenum,3
Fungal virulence,3
Plant cell wall,3
Biomineralization,3
Carboxylate reductase,3
Q-system,3
Molybdenum,3
Calmodulin,3
H3k27me3,3
Blue light,3
Enzyme kinetics,3
Tom complex,3
Codon usage,3
Lov domain,3
Endocytosis,3
Mapk,3
Copper,3
Development,3
Fusarium graminearum,3
Protein folding,3
Protein translocation,3
Histone deacetylation,3
Antifungal drug,3
Population genomics,3
Regulatory networks,3
Metabolism,3
Mass spectrometry,3
Carotenoids,3
Light response,3
Xyloglucan,3
Nmr,3
Morphology,3
Antifungal,3
Casein kinase 1,3
Mating,3
Azole,3
Polarized growth,3
Glycosyltransferase,3
White collar complex,3
Programmed cell death,3
Chromatin remodeling,3
Dap-seq,3
Nutrient sensing,3
Live-cell imaging,3
Cell cycle,3
Biotechnology,3
Signaling pathways,3
Ms,2
Dynamics,2
Cmwc-1,2
Endoplasmic reticulum,2
Experimental evolution,2
Photoinduction,2
Speciation,2
Glucan,2
Cell wall protein,2
Stress,2
Photoadaptation,2
Membrane protein,2
Transporter,2
Protein synthesis,2
Microfluidic device,2
Translation control,2
Tom40,2
Cell wall integrity,2
Convolutional neural network,2
Electrophysiology,2
Yarrowia lipolytica,2
Phospholipase c,2
Lignocellulolytic enzyme,2
Septum,2
Fungus,2
Aspergillus oryzae,2
Csp-1,2
Luminescence,2
Wcc,2
Glycogen,2
Quas,2
Qf,2
Chimeric transactivators,2
Cryphonectria parasitica,2
Binary expression system,2
Dna replication,2
Green fluorescent protein,2
Heterologous gene expression,2
Cellulose degradation,2
Phytochrome,2
Drug resistance,2
Cordyceps militaris,2
Protein secretion,2
Mitochondrial transport,2
Rnai,2
Crystal structure,2
C-terminal domain,2
Eisosome,2
Crispr/cas9,2
Transcriptional regulatory network,2
Ck1,2
Fusarium verticillioides,2
Antioxidant,2
Cp: molecular biology,2
Ergosterol biosynthesis,2
Cross-pathway control,2
Mak-2,2
Porine mitochondriale,2
H3k9 methylation,2
Large-size subunit catalase,2
Cryo-em,2
Caspofungin,2
Zinc,2
Glucose transporter,2
Er stress,2
Polysaccharide monooxygenases,2
Atomic force microscopy,2
Oxydase alternative,2
Hemicellulosic hydrolysate,2
Biodegradation,2
Asexual-sexual switch,2
X-ray structure,2
Chromosome translocation,2
Ddx5,2
Chitinase,2
Intracellular beta-glucosidase,2
Membrane trafficking,2
Cytochrome c oxidase,2
Sphingolipid domains,2
Glucose compensation,2
Molecular genetics,2
Dna repair,2
Botrytis,2
Clsm,2
Oxygen activation,2
Splicing,2
Nitric oxide,2
Enzyme production,2
Cyclic amp,2
Metalloenzymes,2
Photoreactivation,2
Peroxisome,2
Copper carbonate,2
Biocatalysis,2
Polar growth,2
Endophyte,2
