PMID,Title,Abstract,Keywords,Journal,Country,Year
35963473,Safety evaluation of Neurospora crassa mycoprotein for use as a novel meat alternative and enhancer.,"Cultivation of filamentous fungi to produce sustainable, nutrient rich meat replacements has recently attracted significant commercial and research interest. Here, we report evidence for the safety and nutritional value of Neurospora crassa mycoprotein, a whole mycelium food ingredient produced by fermentation and minimal downstream processing. N. crassa has a long history of human use in fermented foods and in molecular biology research. A survey of studies that used N. crassa in animal feed revealed no adverse effects to the health of the animals. Furthermore, a review of the literature found no reports of confirmed allergenicity or toxicity in humans involving N. crassa. Genomic toxigenicity analysis and in vitro testing did not identify any toxins in N. crassa mycoprotein. Two independent genomic allergenicity studies did not identify proteins that would be considered a particular risk for allergenic potential. Furthermore, nutritional analysis demonstrated that N. crassa mycoprotein is a good source of complete protein and is rich in fiber, potassium, and iron. Taken together, the presented data and the history of human use without evidence of human or animal harm indicate that foods containing N. crassa can generally be regarded as safe.","['Food safety', 'Meat alternative', 'Mycoprotein', 'Neurospora crassa', 'Sustainability']",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,USA. Electronic address: brad.bartholomai@bettermeat.co,2022 Oct
34265094,Revisiting the Neurospora crassa mitochondrial genome.,"The mitochondrial genome of Neurospora crassa has been less studied than its nuclear counterpart, yet it holds great potential for understanding the diversity and evolution of this important fungus. Here we describe a new mitochondrial DNA (mtDNA) complete sequence of a N. crassa wild type strain. The genome with 64 839 bp revealed 21 protein-coding genes and several hypothetical open reading frames with no significant homology to any described gene. Five large repetitive regions were identified across the genome, including partial or complete genes. The largest repeated region holds a partial nd2 section that was also detected in Neurospora intermedia, suggesting a rearrangement that occurred before the N. crassa speciation. Interestingly, N. crassa has a palindrome adjacent to the partial nd2 repeated region possibly related to the genomic rearrangement, which is absent in N. intermedia. Finally, we compared the sequences of the three available N. crassa complete mtDNAs and found low levels of intraspecific variability. Most differences among strains were due to small indels in noncoding regions. The revisiting of the N. crassa mtDNA forms the basis for future studies on mitochondrial genome organization and variability.","['DNA polymorphism', 'fungi', 'genomic rearrangements', 'mitochondrial DNA', 'repeats']",Letters in applied microbiology,Portugal,2021 Oct
31172300,Conidiation in Neurospora crassa: vegetative reproduction by a model fungus.,"Asexual development, conidiation, in the filamentous fungus Neurospora crassa is a simple developmental process that starts with the growth of aerial hyphae. Then, the formation of constrictions and subsequent maturation gives rise to the mature conidia that are easily dispersed by air currents. Conidiation is regulated by environmental factors such as light, aeration and nutrient limitation, and by the circadian clock. Different regulatory proteins acting at different stages of conidiation have been described. The role of transcription factors such as FL, and components of signal transduction pathways such as the cAMP phosphodiesterase ACON-2 suggest a complex interplay between differential transcription and signal transduction pathways. Comparisons between the molecular basis of conidiation in N. crassa and other filamentous fungi will help to identify common regulatory elements.","['Asexual development', 'Conidiation', 'Neurospora', 'Sporulation']",International microbiology : the official journal of the Spanish Society for Microbiology,Germany. c.ruger-herreros@zmbh.uni-heidelberg.de,2020 Jan
32305463,Phosphorylation Timers in the Neurospora crassa Circadian Clock.,"Circadian clocks are self-sustained oscillators that orchestrate metabolism and physiology in synchrony with the 24-h day-night cycle. They are temperature compensated over a wide range and entrained by daily recurring environmental cues. Eukaryotic circadian clocks are governed by cell-based transcriptional-translational feedback loops (TTFLs). The core components of the TTFLs are largely known and their molecular interactions in many cases well established. Although the core clock components are not or only partly conserved, the molecular wiring of TTFLs is rather similar across kingdoms and phylae. In all known systems, circadian timing relies critically on casein kinase 1 (CK1) and CK1-dependent hyperphosphorylation of core clock proteins, in particular of negative elements of the TTFLs. Yet, we lack concepts as to how phosphorylation by CK1a and other kinases relates to timekeeping on the molecular level. Here we summarize what is known about phosphorylation of core components of the circadian clock of Neurospora crassa and speculate about the molecular basis of circadian timekeeping by hyperphosphorylation of intrinsically disordered regions in clock proteins.","['Neurospora crassa', 'casein kinase 1', 'circadian clock', 'intrinsically disordered proteins', 'phosphorylation']",Journal of molecular biology,Germany,2020 May 29
25480699,Neurospora crassa: looking back and looking forward at a model microbe.,"Investigation of the red bread mold that contaminated French bakeries nearly two centuries ago has led to a wealth of discoveries that have impacted our understanding of genetic, biochemical, and molecular mechanisms in microbes, from Mendelian genetics and the gene-enzyme relationship to circadian rhythm and plant cell wall degradation. Early Neurospora research focused on elucidating mechanisms of genetic recombination and gene action and later progressed to addressing complex biological questions of eukaryotic microbes. Here we review the evolution of the filamentous fungus Neurospora as a model microbe over the past century. We discuss the origins of Neurospora as a model microbe, the immediate scientific impacts from work in this filamentous fungus, and how the introduction of other model organisms (i.e., Escherichia coli and Saccharomyces cerevisiae) redirected the focus of Neurospora research. Neurospora has and continues to inform our understanding of a myriad of basic scientific concepts and now has the opportunity to forge into the applied biosciences and biotechnology.","['Fungal Genetics Stock Center', 'Neurospora crassa', 'biochemical mutants', 'biotechnology', 'circadian rhythm', 'gene silencing', 'genetics', 'heterokaryosis', 'photobiology', 'population']",American journal of botany,California USA,2014 Dec
35881300,Neurospora crassa is a potential source of anti-cancer agents against breast cancer.,"Fungi are an excellent source of pharmaceuticals including anti-tumor agents. Neurospora crassa generates metabolites with diverse structural classes, however, its potential as an anti-tumor agent source has not been explored. The purpose of this study aimed to investigate the potential of Neurospora crassa mixture against breast cancer. The in vitro T-47D and MDA-MB-231 experiments showed that N. crassa mixture at the concentrations of both 1.7 and 0.85 microg/ml significantly inhibited tumor cell proliferation, migration and invasion, and 3D spheroid formation. However, the inhibition rates of MCF-10A ranged 10-20% at concentrations of 0.85 and 1.7 microg/ml. The mixture at the concentration of 0.85 microg/ml could significantly downregulate the expressions of transcription factors of E2F1 and E2F3, cancer stem cell-related genes of LIN28, HIWI, and CD133, and onco-lncRNA HOTAIR, and increase CASP3 activity in either T-47D or MDA-MD-231 breast cancer cell lines. In vivo breast cancer C3H mouse model results showed that N. crassa mixture significantly inhibited tumor growth. These findings suggest that N. crassa contains an antitumor component(s) against breast cancer invasiveness, which may inhibit the self-renewal and differentiation of breast cancer stem cells possibly by downregulating cancer stem cell-associated and/or transcription factor genes and oncogenes, and promoting apoptosis.","['3D spheroid', 'Breast cancer', 'Cancer stem cells', 'Gene expression', 'Neurospora crassa']","Breast cancer (Tokyo, Japan)",People's Republic of China,2022 Nov
24086046,"Neurospora crassa, a model system for epigenetics research.","The filamentous fungus Neurospora crassa has provided a rich source of knowledge on epigenetic phenomena that would have been difficult or impossible to gain from other systems. Neurospora sports features found in higher eukaryotes but absent in both budding and fission yeast, including DNA methylation and H3K27 methylation, and also has distinct RNA interference (RNAi)-based silencing mechanisms operating in mitotic and meiotic cells. This has provided an unexpected wealth of information on gene silencing systems. One silencing mechanism, named repeat-induced point mutation (RIP), has both epigenetic and genetic aspects and provided the first example of a homology-based genome defense system. A second silencing mechanism, named quelling, is an RNAi-based mechanism that results in silencing of transgenes and their native homologs. A third, named meiotic silencing, is also RNAi-based but is distinct from quelling in its time of action, targets, and apparent purpose.",?,Cold Spring Harbor perspectives in biology,Texas 77843-3258,2013 Oct 1
35616476,Targeted Metabolomics Using LC-MS in Neurospora crassa.,"The filamentous fungus Neurospora crassa has historically been a model for understanding the relationship between genes and metabolism-auxotrophic mutants of N. crassa were used by Beadle and Tatum to develop the one-gene-one-enzyme hypothesis for which they earned the Nobel Prize in 1958. In the ensuing decades, several techniques have been developed for the systematic analysis of metabolites in N. crassa and other fungi. Untargeted and targeted approaches have been used, with a focus on secondary metabolites over primary metabolism. Here, we describe a pipeline for sample preparation, metabolite extraction, Liquid Chromatography-Mass Spectrometry (LC-MS), and data analysis that can be used for targeted metabolomics of primary metabolites in N. crassa. Liquid cultures are grown with shaking in a defined minimal medium and then collected using filtration. Samples are lyophilized for 2 days at -80 degrees C, pulverized, and mixed with a solution to extract polar metabolites. The metabolites are separated and identified using LC-MS, with downstream analysis using Skyline interpretive software. Relative levels of hundreds of metabolites can be detected and compared across strains. (c) 2022 Wiley Periodicals LLC. Basic Protocol: Metabolite extraction and detection from Neurospora crassa cell cultures using Liquid Chromatography-Mass Spectrometry.","['LC-MS', 'Metabolomics', 'Neurospora crassa']",Current protocols,California,2022 May
25239547,Neurospora crassa as a model organism to explore the interconnected network of the cell cycle and the circadian clock.,"Budding and fission yeast pioneered uncovering molecular mechanisms of eukaryotic cell division cycles. However, they do not possess canonical circadian clock machinery that regulates physiological processes with a period of about 24h. On the other hand, Neurospora crassa played a critical role in elucidating molecular mechanisms of circadian rhythms, but have not been utilized frequently for cell cycle studies. Recent findings demonstrate that there exists a conserved coupling between the cell cycle and the circadian clock from N.crassa to Mus musculus, which poses Neurospora as an ideal model organism to investigate molecular mechanisms and emerging behavior of the coupled network of the cell cycle and circadian rhythms. In this review, we briefly describe generic eukaryotic cell cycle regulation focusing on G1/S and G2/M transitions, and highlight that these transitions may be targeted for the circadian clock to influence timing of cell division cycles.","['Cell cycle', 'Circadian clock', 'Model organisms', 'Neurospora crassa', 'Oscillations']",Fungal genetics and biology : FG & B,United States,2014 Oct
26340439,Cell fusion in Neurospora crassa.,"In recent years, the filamentous fungus Neurospora crassa has advanced as a model organism for studying eukaryotic cell-cell communication and fusion. Cell merger in this fungus employs an unusual mode of communication, in which the fusion partners appear to switch between signal sending and receiving. Many molecular factors mediating this intriguing mechanism and the subsequent membrane merger have been identified. It has become apparent that conserved factors, such as MAP kinases, NADPH oxidases and the STRIPAK complex, together with fungal specific proteins are wired into an intricate signaling network. Here, we will present an overview of recent findings on the molecular mechanism mediating fusion in N. crassa and will discuss the current working model.",?,Current opinion in microbiology,Germany,2015 Dec
