PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25025273","Myceliophthora thermophila syn. Sporotrichum thermophile: a thermophilic mould of biotechnological potential","Singh B.","Crit Rev Biotechnol. 2016;36(1):59-69. doi: 10.3109/07388551.2014.923985. Epub 2014 Jul 15.","Singh B","Crit Rev Biotechnol","2016","2014/07/16","","","10.3109/07388551.2014.923985"
"32640074","Growth kinetics of Myceliophthora thermophila M.7·7 in solid-state cultivation","Dos Santos Gomes AC, Casciatori FP, Gomes E, da Costa Carreira Nunes C, Moretti MMS, Thoméo JC.","J Appl Microbiol. 2021 Jan;130(1):90-99. doi: 10.1111/jam.14774. Epub 2020 Jul 29.","Dos Santos Gomes AC","J Appl Microbiol","2021","2020/07/09","","","10.1111/jam.14774"
"24995002","Genomic insights into the fungal lignocellulolytic system of Myceliophthora thermophila","Karnaouri A, Topakas E, Antonopoulou I, Christakopoulos P.","Front Microbiol. 2014 Jun 18;5:281. doi: 10.3389/fmicb.2014.00281. eCollection 2014.","Karnaouri A","Front Microbiol","2014","2014/07/05","PMC4061905","","10.3389/fmicb.2014.00281"
"35450635","Extending the diversity of Myceliophthora thermophila LPMOs: Two different xyloglucan cleavage profiles","Sun P, de Munnik M, van Berkel WJH, Kabel MA.","Carbohydr Polym. 2022 Jul 15;288:119373. doi: 10.1016/j.carbpol.2022.119373. Epub 2022 Mar 18.","Sun P","Carbohydr Polym","2022","2022/04/22","","","10.1016/j.carbpol.2022.119373"
"31534479","Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism","Dos Santos Gomes AC, Falkoski D, Battaglia E, Peng M, Nicolau de Almeida M, Coconi Linares N, Meijnen JP, Visser J, de Vries RP.","Biotechnol Biofuels. 2019 Sep 16;12:220. doi: 10.1186/s13068-019-1556-y. eCollection 2019.","Dos Santos Gomes AC","Biotechnol Biofuels","2019","2019/09/20","PMC6745793","","10.1186/s13068-019-1556-y"
"31802333","Improving cellulases production by Myceliophthora thermophila through disruption of protease genes","Li X, Liu Q, Sun W, He Q, Tian C.","Biotechnol Lett. 2020 Feb;42(2):219-229. doi: 10.1007/s10529-019-02777-0. Epub 2019 Dec 4.","Li X","Biotechnol Lett","2020","2019/12/06","","","10.1007/s10529-019-02777-0"
"35257374","Reconstruction and analysis of genome-scale metabolic model for thermophilic fungus Myceliophthora thermophila","Liu D, Xu Z, Li J, Liu Q, Yuan Q, Guo Y, Ma H, Tian C.","Biotechnol Bioeng. 2022 Jul;119(7):1926-1937. doi: 10.1002/bit.28080. Epub 2022 Mar 24.","Liu D","Biotechnol Bioeng","2022","2022/03/08","","","10.1002/bit.28080"
"34735642","Recombinant cellobiohydrolase of Myceliophthora thermophila: characterization and applicability in cellulose saccharification","Dadwal A, Sharma S, Satyanarayana T.","AMB Express. 2021 Nov 4;11(1):148. doi: 10.1186/s13568-021-01311-8.","Dadwal A","AMB Express","2021","2021/11/04","PMC8568750","","10.1186/s13568-021-01311-8"
"27807811","Myceliophthora thermophila M77 utilizes hydrolytic and oxidative mechanisms to deconstruct biomass","Dos Santos HB, Bezerra TMS, Pradella JGC, Delabona P, Lima D, Gomes E, Hartson SD, Rogers J, Couger B, Prade R.","AMB Express. 2016 Dec;6(1):103. doi: 10.1186/s13568-016-0276-y. Epub 2016 Nov 2.","Dos Santos HB","AMB Express","2016","2016/11/04","PMC5093097","","10.1186/s13568-016-0276-y"
"31078793","Direct production of commodity chemicals from lignocellulose using Myceliophthora thermophila","Li J, Lin L, Sun T, Xu J, Ji J, Liu Q, Tian C.","Metab Eng. 2020 Sep;61:416-426. doi: 10.1016/j.ymben.2019.05.007. Epub 2019 May 9.","Li J","Metab Eng","2020","2019/05/13","","","10.1016/j.ymben.2019.05.007"
