PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35963473","Safety evaluation of Neurospora crassa mycoprotein for use as a novel meat alternative and enhancer","Bartholomai BM, Ruwe KM, Thurston J, Jha P, Scaife K, Simon R, Abdelmoteleb M, Goodman RE, Farhi M.","Food Chem Toxicol. 2022 Oct;168:113342. doi: 10.1016/j.fct.2022.113342. Epub 2022 Aug 11.","Bartholomai BM","Food Chem Toxicol","2022","2022/08/13","","","10.1016/j.fct.2022.113342"
"31172300","Conidiation in Neurospora crassa: vegetative reproduction by a model fungus","Ruger-Herreros C, Corrochano LM.","Int Microbiol. 2020 Jan;23(1):97-105. doi: 10.1007/s10123-019-00085-1. Epub 2019 Jun 6.","Ruger-Herreros C","Int Microbiol","2020","2019/06/08","","","10.1007/s10123-019-00085-1"
"26340439","Cell fusion in Neurospora crassa","Herzog S, Schumann MR, Fleißner A.","Curr Opin Microbiol. 2015 Dec;28:53-9. doi: 10.1016/j.mib.2015.08.002. Epub 2015 Sep 3.","Herzog S","Curr Opin Microbiol","2015","2015/09/05","","","10.1016/j.mib.2015.08.002"
"11931228","Quelling in Neurospora crassa","Pickford AS, Catalanotto C, Cogoni C, Macino G.","Adv Genet. 2002;46:277-303. doi: 10.1016/s0065-2660(02)46010-5.","Pickford AS","Adv Genet","2002","2002/04/05","","","10.1016/s0065-2660(02)46010-5"
"12033445","Neurospora crassa catalases, singlet oxygen and cell differentiation","Peraza L, Hansberg W.","Biol Chem. 2002 Mar-Apr;383(3-4):569-75. doi: 10.1515/BC.2002.058.","Peraza L","Biol Chem","2002","2002/05/30","","","10.1515/BC.2002.058"
"33159072","Establishment of Neurospora crassa as a model organism for fungal virology","Honda S, Eusebio-Cope A, Miyashita S, Yokoyama A, Aulia A, Shahi S, Kondo H, Suzuki N.","Nat Commun. 2020 Nov 6;11(1):5627. doi: 10.1038/s41467-020-19355-y.","Honda S","Nat Commun","2020","2020/11/07","PMC7648066","","10.1038/s41467-020-19355-y"
"16445744","Homology effects in Neurospora crassa","Catalanotto C, Nolan T, Cogoni C.","FEMS Microbiol Lett. 2006 Jan;254(2):182-9. doi: 10.1111/j.1574-6968.2005.00037.x.","Catalanotto C","FEMS Microbiol Lett","2006","2006/02/01","","","10.1111/j.1574-6968.2005.00037.x"
"6219280","Chromosomal loci of Neurospora crassa","Perkins DD, Radford A, Newmeyer D, Björkman M.","Microbiol Rev. 1982 Dec;46(4):426-570. doi: 10.1128/mr.46.4.426-570.1982.","Perkins DD","Microbiol Rev","1982","1982/12/01","PMC281555","","10.1128/mr.46.4.426-570.1982"
"9454641","Blue light regulation in Neurospora crassa","Linden H, Ballario P, Macino G.","Fungal Genet Biol. 1997 Dec;22(3):141-50. doi: 10.1006/fgbi.1997.1013.","Linden H","Fungal Genet Biol","1997","1998/03/21","","","10.1006/fgbi.1997.1013"
"23890213","Recent advances in septum biogenesis in Neurospora crassa","Mouriño-Pérez RR, Riquelme M.","Adv Genet. 2013;83:99-134. doi: 10.1016/B978-0-12-407675-4.00003-1.","Mouriño-Pérez RR","Adv Genet","2013","2013/07/30","","","10.1016/B978-0-12-407675-4.00003-1"
"21640311","Architecture and development of the Neurospora crassa hypha -- a model cell for polarized growth","Riquelme M, Yarden O, Bartnicki-Garcia S, Bowman B, Castro-Longoria E, Free SJ, Fleissner A, Freitag M, Lew RR, Mouriño-Pérez R, Plamann M, Rasmussen C, Richthammer C, Roberson RW, Sanchez-Leon E, Seiler S, Watters MK.","Fungal Biol. 2011 Jun;115(6):446-74. doi: 10.1016/j.funbio.2011.02.008. Epub 2011 Feb 19.","Riquelme M","Fungal Biol","2011","2011/06/07","","","10.1016/j.funbio.2011.02.008"
"11463212","A fungus among us: the Neurospora crassa circadian system","Merrow M, Roenneberg T, Macino G, Franchi L.","Semin Cell Dev Biol. 2001 Aug;12(4):279-85. doi: 10.1006/scdb.2001.0255.","Merrow M","Semin Cell Dev Biol","2001","2001/07/21","","","10.1006/scdb.2001.0255"
"18979236","Cell fusion in the filamentous fungus, Neurospora crassa","Fleissner A, Simonin AR, Glass NL.","Methods Mol Biol. 2008;475:21-38. doi: 10.1007/978-1-59745-250-2_2.","Fleissner A","Methods Mol Biol","2008","2008/11/04","","","10.1007/978-1-59745-250-2_2"
"23318834","Biotechnological production of ethanol from renewable resources by Neurospora crassa: an alternative to conventional yeast fermentations?","Dogaris I, Mamma D, Kekos D.","Appl Microbiol Biotechnol. 2013 Feb;97(4):1457-73. doi: 10.1007/s00253-012-4655-2. Epub 2013 Jan 15.","Dogaris I","Appl Microbiol Biotechnol","2013","2013/01/16","","","10.1007/s00253-012-4655-2"
"2147375","Circadian rhythms in Neurospora crassa: biochemistry and genetics","Lakin-Thomas PL, Coté GG, Brody S.","Crit Rev Microbiol. 1990;17(5):365-416. doi: 10.3109/10408419009114762.","Lakin-Thomas PL","Crit Rev Microbiol","1990","1990/01/01","","","10.3109/10408419009114762"
"35353854","Wavelengths and irradiances modulate the circadian rhythm of Neurospora crassa","Wen P, Tan F, Lei M, Khan MSA, Chen W, Hu X.","PLoS One. 2022 Mar 30;17(3):e0266266. doi: 10.1371/journal.pone.0266266. eCollection 2022.","Wen P","PLoS One","2022","2022/03/30","PMC8967017","","10.1371/journal.pone.0266266"
"29119270","Functional diversity in the pH signaling pathway: an overview of the pathway regulation in Neurospora crassa","Virgilio S, Bertolini MC.","Curr Genet. 2018 Jun;64(3):529-534. doi: 10.1007/s00294-017-0772-x. Epub 2017 Nov 8.","Virgilio S","Curr Genet","2018","2017/11/10","","","10.1007/s00294-017-0772-x"
"10779395","Understanding circadian rhythmicity in Neurospora crassa: from behavior to genes and back again","Bell-Pedersen D.","Fungal Genet Biol. 2000 Feb;29(1):1-18. doi: 10.1006/fgbi.2000.1185.","Bell-Pedersen D","Fungal Genet Biol","2000","2000/04/26","","","10.1006/fgbi.2000.1185"
"2961304","Regulation of the QA gene cluster of Neurospora crassa","Geever RF, Baum JA, Case ME, Giles NH.","Antonie Van Leeuwenhoek. 1987;53(5):343-8. doi: 10.1007/BF00400558.","Geever RF","Antonie Van Leeuwenhoek","1987","1987/01/01","","","10.1007/BF00400558"
"17395524","Quelling: post-transcriptional gene silencing guided by small RNAs in Neurospora crassa","Fulci V, Macino G.","Curr Opin Microbiol. 2007 Apr;10(2):199-203. doi: 10.1016/j.mib.2007.03.016. Epub 2007 Mar 28.","Fulci V","Curr Opin Microbiol","2007","2007/03/31","","","10.1016/j.mib.2007.03.016"
"9402704","White collar proteins: PASsing the light signal in Neurospora crassa","Ballario P, Macino G.","Trends Microbiol. 1997 Nov;5(11):458-62. doi: 10.1016/S0966-842X(97)01144-X.","Ballario P","Trends Microbiol","1997","1997/12/24","","","10.1016/S0966-842X(97)01144-X"
"17954967","Circadian rhythm in the pink-orange bread mould Neurospora crassa: for what?","Maheshwari R.","J Biosci. 2007 Sep;32(6):1053-8. doi: 10.1007/s12038-007-0107-z.","Maheshwari R","J Biosci","2007","2007/10/24","","","10.1007/s12038-007-0107-z"
"15007097","Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism","Borkovich KA, Alex LA, Yarden O, Freitag M, Turner GE, Read ND, Seiler S, Bell-Pedersen D, Paietta J, Plesofsky N, Plamann M, Goodrich-Tanrikulu M, Schulte U, Mannhaupt G, Nargang FE, Radford A, Selitrennikoff C, Galagan JE, Dunlap JC, Loros JJ, Catcheside D, Inoue H, Aramayo R, Polymenis M, Selker EU, Sachs MS, Marzluf GA, Paulsen I, Davis R, Ebbole DJ, Zelter A, Kalkman ER, O'Rourke R, Bowring F, Yeadon J, Ishii C, Suzuki K, Sakai W, Pratt R.","Microbiol Mol Biol Rev. 2004 Mar;68(1):1-108. doi: 10.1128/MMBR.68.1.1-108.2004.","Borkovich KA","Microbiol Mol Biol Rev","2004","2004/03/10","PMC362109","","10.1128/MMBR.68.1.1-108.2004"
"8357339","Genetic control of fungal differentiation: the three sporulation pathways of Neurospora crassa","Springer ML.","Bioessays. 1993 Jun;15(6):365-74. doi: 10.1002/bies.950150602.","Springer ML","Bioessays","1993","1993/06/01","","","10.1002/bies.950150602"
"24953997","The Neurospora crassa CPS-1 polysaccharide synthase functions in cell wall biosynthesis","Fu C, Sokolow E, Rupert CB, Free SJ.","Fungal Genet Biol. 2014 Aug;69:23-30. doi: 10.1016/j.fgb.2014.05.009. Epub 2014 Jun 2.","Fu C","Fungal Genet Biol","2014","2014/06/24","PMC4115004","NIHMS602784","10.1016/j.fgb.2014.05.009"
