Gene,GOID,DEFINITION,ONTOLOGY,TERM
MYCTH_73315,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_73315,GO:0003700,"Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.",MF,DNA-binding transcription factor activity
MYCTH_73315,GO:0034770,The modification of histone H4 by addition of one or more methyl groups to lysine at position 20 of the histone.,BP,histone H4-K20 methylation
MYCTH_2312519,GO:0004865,"Stops, prevents or reduces the activity of a serine/threonine protein phosphatase, an enzyme that catalyzes the reaction: protein serine/threonine phosphate + H2O = protein serine/threonine + phosphate.",MF,protein serine/threonine phosphatase inhibitor activity
MYCTH_2090554,GO:0006520,"The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells.",BP,cellular amino acid metabolic process
MYCTH_2090554,GO:0016639,Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH2 group acts as a hydrogen or electron donor and reduces NAD+ or NADP.,MF,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"
MYCTH_2305611,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2302738,GO:0004185,Catalysis of the hydrolysis of a peptide bond not more than three residues from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).,MF,serine-type carboxypeptidase activity
MYCTH_2094933,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2297165,GO:0043531,"Interacting selectively and non-covalently with ADP, adenosine 5'-diphosphate.",MF,ADP binding
MYCTH_2302558,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2302558,GO:0003729,"Interacting selectively and non-covalently with messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns.",MF,mRNA binding
MYCTH_2302558,GO:0003676,Interacting selectively and non-covalently with any nucleic acid.,MF,nucleic acid binding
MYCTH_2300729,GO:0006886,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",BP,intracellular protein transport
MYCTH_2300729,GO:0030127,"One of two multimeric complexes that forms a membrane vesicle coat. COPII is best characterized in S. cerevisiae, where the subunits are called Sar1p, Sec13p, Sec31p, Sec23p, and Sec24p. Vesicles with COPII coats are found associated with endoplasmic reticulum (ER) membranes at steady state.",CC,COPII vesicle coat
MYCTH_2305592,GO:0009229,"The chemical reactions and pathways resulting in the formation of thiamine diphosphate, a derivative of thiamine (vitamin B1) which acts as a coenzyme in a range of processes including the Krebs cycle.",BP,thiamine diphosphate biosynthetic process
MYCTH_2305592,GO:0004788,Catalysis of the reaction: ATP + thiamine = AMP + thiamine diphosphate.,MF,thiamine diphosphokinase activity
MYCTH_2309927,GO:0006364,Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules.,BP,rRNA processing
MYCTH_2309927,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2306674,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2309618,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2065851,GO:0004553,Catalysis of the hydrolysis of any O-glycosyl bond.,MF,"hydrolase activity, hydrolyzing O-glycosyl compounds"
MYCTH_2302026,GO:0008757,Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a substrate.,MF,S-adenosylmethionine-dependent methyltransferase activity
MYCTH_2312147,GO:0006099,"A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle.",BP,tricarboxylic acid cycle
MYCTH_2312147,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2312147,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2112801,GO:0016746,Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).,MF,"transferase activity, transferring acyl groups"
