Gene,KEGG_definition,KEGG
MYCTH_100519,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm04070
MYCTH_100654,Autophagy - yeast;Protein processing in endoplasmic reticulum,mtm04138;mtm04141
MYCTH_101224,Fatty acid degradation;Tryptophan metabolism,mtm00071;mtm00380
MYCTH_101411,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_101588,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system;Autophagy - yeast,mtm00562;mtm01100;mtm04070;mtm04138
MYCTH_102290,Fructose and mannose metabolism;Metabolic pathways,mtm00051;mtm01100
MYCTH_102322,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_102522,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_103080,Fructose and mannose metabolism;Metabolic pathways,mtm00051;mtm01100
MYCTH_103330,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00220;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_103702,Glycolysis / Gluconeogenesis;Galactose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00010;mtm00052;mtm01100;mtm01110
MYCTH_104059,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_104076,Glycerophospholipid metabolism;Biosynthesis of secondary metabolites,mtm00564;mtm01110
MYCTH_104628,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_104717,ABC transporters,mtm02010
MYCTH_104936,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_105063,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_105405,Ribosome,mtm03010
MYCTH_105650,Ubiquitin mediated proteolysis,mtm04120
MYCTH_105822,Spliceosome,mtm03040
MYCTH_105847,"Fatty acid degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Tryptophan metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Butanoate metabolism;Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid metabolism",mtm00071;mtm00280;mtm00310;mtm00380;mtm00620;mtm00630;mtm00640;mtm00650;mtm00900;mtm01100;mtm01110;mtm01200;mtm01212
MYCTH_106388,Nicotinate and nicotinamide metabolism;Metabolic pathways,mtm00760;mtm01100
MYCTH_106950,Spliceosome,mtm03040
MYCTH_107255,Nucleotide excision repair;Ubiquitin mediated proteolysis,mtm03420;mtm04120
MYCTH_107891,Spliceosome;Ubiquitin mediated proteolysis,mtm03040;mtm04120
MYCTH_107972,Spliceosome,mtm03040
MYCTH_108115,"Fatty acid degradation;Valine, leucine and isoleucine degradation;alpha-Linolenic acid metabolism;Biosynthesis of unsaturated fatty acids;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism;Peroxisome",mtm00071;mtm00280;mtm00592;mtm01040;mtm01100;mtm01110;mtm01212;mtm04146
MYCTH_108304,Proteasome,mtm03050
