ncbi-geneid:11505753,mtm:MYCTH_100011
ncbi-geneid:11512455,mtm:MYCTH_100068
ncbi-geneid:11512426,mtm:MYCTH_100089
ncbi-geneid:11512377,mtm:MYCTH_100127
ncbi-geneid:11512195,mtm:MYCTH_100290
ncbi-geneid:11510827,mtm:MYCTH_100400
ncbi-geneid:11510826,mtm:MYCTH_100401
ncbi-geneid:11510788,mtm:MYCTH_100435
ncbi-geneid:11510733,mtm:MYCTH_100489
ncbi-geneid:11510692,mtm:MYCTH_100518
ncbi-geneid:11510691,mtm:MYCTH_100519
ncbi-geneid:11510664,mtm:MYCTH_100541
ncbi-geneid:11510626,mtm:MYCTH_100566
ncbi-geneid:11510595,mtm:MYCTH_100589
ncbi-geneid:11510565,mtm:MYCTH_100608
ncbi-geneid:11510511,mtm:MYCTH_100654
ncbi-geneid:11510401,mtm:MYCTH_100744
ncbi-geneid:11510366,mtm:MYCTH_100777
ncbi-geneid:11510325,mtm:MYCTH_100809
ncbi-geneid:11512161,mtm:MYCTH_100838
ncbi-geneid:11511998,mtm:MYCTH_100975
ncbi-geneid:11511946,mtm:MYCTH_101019
ncbi-geneid:11511841,mtm:MYCTH_101105
ncbi-geneid:11511838,mtm:MYCTH_101107
ncbi-geneid:11511765,mtm:MYCTH_101172
ncbi-geneid:11509762,mtm:MYCTH_101222
ncbi-geneid:11509759,mtm:MYCTH_101224
ncbi-geneid:11509713,mtm:MYCTH_101261
ncbi-geneid:11509547,mtm:MYCTH_101321
ncbi-geneid:11509424,mtm:MYCTH_101345
ncbi-geneid:11509408,mtm:MYCTH_101354
ncbi-geneid:11509266,mtm:MYCTH_101394
ncbi-geneid:11509261,mtm:MYCTH_101399
ncbi-geneid:11509254,mtm:MYCTH_101406
ncbi-geneid:11509249,mtm:MYCTH_101411
ncbi-geneid:11507890,mtm:MYCTH_101506
ncbi-geneid:11507818,mtm:MYCTH_101575
ncbi-geneid:11507805,mtm:MYCTH_101588
ncbi-geneid:11507765,mtm:MYCTH_101623
ncbi-geneid:11507704,mtm:MYCTH_101673
ncbi-geneid:11507700,mtm:MYCTH_101679
ncbi-geneid:11507646,mtm:MYCTH_101730
ncbi-geneid:11511362,mtm:MYCTH_10175
ncbi-geneid:11507606,mtm:MYCTH_101762
ncbi-geneid:11507564,mtm:MYCTH_101800
ncbi-geneid:11507486,mtm:MYCTH_101870
ncbi-geneid:11507368,mtm:MYCTH_101972
ncbi-geneid:11512648,mtm:MYCTH_102118
ncbi-geneid:11512631,mtm:MYCTH_102133
ncbi-geneid:11512625,mtm:MYCTH_102138
ncbi-geneid:11512578,mtm:MYCTH_102172
ncbi-geneid:11506317,mtm:MYCTH_102226
ncbi-geneid:11506149,mtm:MYCTH_102290
ncbi-geneid:11506142,mtm:MYCTH_102295
ncbi-geneid:11506140,mtm:MYCTH_102297
ncbi-geneid:11506107,mtm:MYCTH_102322
ncbi-geneid:11514359,mtm:MYCTH_102448
ncbi-geneid:11514203,mtm:MYCTH_102510
ncbi-geneid:11514109,mtm:MYCTH_102522
ncbi-geneid:11514098,mtm:MYCTH_102533
ncbi-geneid:11513805,mtm:MYCTH_102652
ncbi-geneid:11513490,mtm:MYCTH_102790
ncbi-geneid:11513487,mtm:MYCTH_102792
ncbi-geneid:11513480,mtm:MYCTH_102797
ncbi-geneid:11510283,mtm:MYCTH_102849
ncbi-geneid:11510249,mtm:MYCTH_102871
ncbi-geneid:11510236,mtm:MYCTH_102878
ncbi-geneid:11510145,mtm:MYCTH_102943
ncbi-geneid:11510054,mtm:MYCTH_102965
ncbi-geneid:11510048,mtm:MYCTH_102971
ncbi-geneid:11510040,mtm:MYCTH_102977
ncbi-geneid:11506414,mtm:MYCTH_102985
ncbi-geneid:11510005,mtm:MYCTH_102997
ncbi-geneid:11509876,mtm:MYCTH_103022
ncbi-geneid:11509873,mtm:MYCTH_103025
ncbi-geneid:11509907,mtm:MYCTH_103032
ncbi-geneid:11511443,mtm:MYCTH_103061
ncbi-geneid:11511429,mtm:MYCTH_103070
ncbi-geneid:11511417,mtm:MYCTH_103080
ncbi-geneid:11511403,mtm:MYCTH_103090
ncbi-geneid:11511487,mtm:MYCTH_103096
ncbi-geneid:11511359,mtm:MYCTH_103122
ncbi-geneid:11511355,mtm:MYCTH_103124
ncbi-geneid:11511338,mtm:MYCTH_103134
ncbi-geneid:11511282,mtm:MYCTH_103164
ncbi-geneid:11511118,mtm:MYCTH_103320
ncbi-geneid:11511106,mtm:MYCTH_103330
ncbi-geneid:11511101,mtm:MYCTH_103334
ncbi-geneid:11511024,mtm:MYCTH_103379
ncbi-geneid:11507187,mtm:MYCTH_103537
ncbi-geneid:11507074,mtm:MYCTH_103571
ncbi-geneid:11507047,mtm:MYCTH_103590
ncbi-geneid:11506933,mtm:MYCTH_103611
ncbi-geneid:11506921,mtm:MYCTH_103620
ncbi-geneid:11506913,mtm:MYCTH_103628
ncbi-geneid:11506775,mtm:MYCTH_103671
ncbi-geneid:11506727,mtm:MYCTH_103702
ncbi-geneid:11511468,mtm:MYCTH_103794
ncbi-geneid:11510115,mtm:MYCTH_103797
ncbi-geneid:11510092,mtm:MYCTH_103818
ncbi-geneid:11509940,mtm:MYCTH_103867
ncbi-geneid:11509613,mtm:MYCTH_104005
ncbi-geneid:11509471,mtm:MYCTH_104059
ncbi-geneid:11509371,mtm:MYCTH_104076
ncbi-geneid:11509345,mtm:MYCTH_104102
ncbi-geneid:11509340,mtm:MYCTH_104106
ncbi-geneid:11507133,mtm:MYCTH_104267
ncbi-geneid:11506837,mtm:MYCTH_104380
ncbi-geneid:11506831,mtm:MYCTH_104386
ncbi-geneid:11513692,mtm:MYCTH_104551
ncbi-geneid:11513663,mtm:MYCTH_104570
ncbi-geneid:11513571,mtm:MYCTH_104582
ncbi-geneid:11513523,mtm:MYCTH_104628
ncbi-geneid:11511525,mtm:MYCTH_104665
ncbi-geneid:11511515,mtm:MYCTH_104673
ncbi-geneid:11511514,mtm:MYCTH_104674
ncbi-geneid:11513190,mtm:MYCTH_104717
ncbi-geneid:11509087,mtm:MYCTH_104726
ncbi-geneid:11505602,mtm:MYCTH_104802
ncbi-geneid:11505408,mtm:MYCTH_104827
ncbi-geneid:11508236,mtm:MYCTH_104887
ncbi-geneid:11505826,mtm:MYCTH_104936
ncbi-geneid:11512891,mtm:MYCTH_104945
ncbi-geneid:11505824,mtm:MYCTH_104959
ncbi-geneid:11512981,mtm:MYCTH_105006
ncbi-geneid:11508326,mtm:MYCTH_105063
ncbi-geneid:11508367,mtm:MYCTH_105072
ncbi-geneid:11514351,mtm:MYCTH_105128
ncbi-geneid:11514348,mtm:MYCTH_105130
ncbi-geneid:11514301,mtm:MYCTH_105157
ncbi-geneid:11514153,mtm:MYCTH_105197
ncbi-geneid:11513830,mtm:MYCTH_105286
ncbi-geneid:11508624,mtm:MYCTH_105318
ncbi-geneid:11511676,mtm:MYCTH_105405
ncbi-geneid:11506234,mtm:MYCTH_105482
ncbi-geneid:11513264,mtm:MYCTH_105575
ncbi-geneid:11513361,mtm:MYCTH_105600
ncbi-geneid:11512848,mtm:MYCTH_105650
ncbi-geneid:11508446,mtm:MYCTH_105669
ncbi-geneid:11509010,mtm:MYCTH_105777
ncbi-geneid:11508651,mtm:MYCTH_105786
ncbi-geneid:11505371,mtm:MYCTH_105822
ncbi-geneid:11511558,mtm:MYCTH_105847
ncbi-geneid:11513355,mtm:MYCTH_105869
ncbi-geneid:11508460,mtm:MYCTH_105966
ncbi-geneid:11510996,mtm:MYCTH_10609
ncbi-geneid:11509155,mtm:MYCTH_106293
ncbi-geneid:11512821,mtm:MYCTH_106343
ncbi-geneid:11508842,mtm:MYCTH_106346
ncbi-geneid:11511664,mtm:MYCTH_106388
ncbi-geneid:11513201,mtm:MYCTH_106442
ncbi-geneid:11512993,mtm:MYCTH_106463
ncbi-geneid:11512494,mtm:MYCTH_106502
ncbi-geneid:11512452,mtm:MYCTH_106527
ncbi-geneid:11512324,mtm:MYCTH_106599
ncbi-geneid:11512309,mtm:MYCTH_106609
ncbi-geneid:11512297,mtm:MYCTH_106618
ncbi-geneid:11510812,mtm:MYCTH_106768
ncbi-geneid:11510764,mtm:MYCTH_106798
ncbi-geneid:11510731,mtm:MYCTH_106819
ncbi-geneid:11510713,mtm:MYCTH_106827
ncbi-geneid:11510454,mtm:MYCTH_106950
ncbi-geneid:11512055,mtm:MYCTH_107095
ncbi-geneid:11511448,mtm:MYCTH_10713
ncbi-geneid:11511984,mtm:MYCTH_107134
ncbi-geneid:11511970,mtm:MYCTH_107142
ncbi-geneid:11511926,mtm:MYCTH_107168
ncbi-geneid:11511907,mtm:MYCTH_107178
ncbi-geneid:11512526,mtm:MYCTH_107186
ncbi-geneid:11511771,mtm:MYCTH_107255
ncbi-geneid:11509717,mtm:MYCTH_107295
ncbi-geneid:11507875,mtm:MYCTH_107458
ncbi-geneid:11507790,mtm:MYCTH_107520
ncbi-geneid:11507685,mtm:MYCTH_107580
ncbi-geneid:11507492,mtm:MYCTH_107689
ncbi-geneid:11507427,mtm:MYCTH_107723
ncbi-geneid:11507363,mtm:MYCTH_107763
ncbi-geneid:11512760,mtm:MYCTH_107796
ncbi-geneid:11509851,mtm:MYCTH_107866
ncbi-geneid:11512594,mtm:MYCTH_107891
ncbi-geneid:11506118,mtm:MYCTH_107972
ncbi-geneid:11506106,mtm:MYCTH_107976
ncbi-geneid:11514370,mtm:MYCTH_108044
ncbi-geneid:11514258,mtm:MYCTH_108061
ncbi-geneid:11514106,mtm:MYCTH_108098
ncbi-geneid:11514067,mtm:MYCTH_108115
ncbi-geneid:11513921,mtm:MYCTH_108157
ncbi-geneid:11506440,mtm:MYCTH_108294
ncbi-geneid:11506422,mtm:MYCTH_108304
ncbi-geneid:11513420,mtm:MYCTH_108314
ncbi-geneid:11513417,mtm:MYCTH_108317
ncbi-geneid:11510057,mtm:MYCTH_108391
ncbi-geneid:11510006,mtm:MYCTH_108407
ncbi-geneid:11506413,mtm:MYCTH_108416
ncbi-geneid:11511335,mtm:MYCTH_108475
ncbi-geneid:11511279,mtm:MYCTH_108493
ncbi-geneid:11511266,mtm:MYCTH_108501
ncbi-geneid:11511261,mtm:MYCTH_108504
ncbi-geneid:11511167,mtm:MYCTH_108565
ncbi-geneid:11511072,mtm:MYCTH_108615
ncbi-geneid:11511037,mtm:MYCTH_108627
ncbi-geneid:11507059,mtm:MYCTH_108765
ncbi-geneid:11506937,mtm:MYCTH_108781
ncbi-geneid:11506737,mtm:MYCTH_108836
ncbi-geneid:11506446,mtm:MYCTH_108890
ncbi-geneid:11509994,mtm:MYCTH_108924
ncbi-geneid:11509608,mtm:MYCTH_109046
ncbi-geneid:11509486,mtm:MYCTH_109078
ncbi-geneid:11507179,mtm:MYCTH_109194
ncbi-geneid:11507028,mtm:MYCTH_109232
ncbi-geneid:11506519,mtm:MYCTH_109373
ncbi-geneid:11506508,mtm:MYCTH_109377
ncbi-geneid:11513524,mtm:MYCTH_109444
ncbi-geneid:11505392,mtm:MYCTH_109499
ncbi-geneid:11511559,mtm:MYCTH_109510
ncbi-geneid:11505543,mtm:MYCTH_109530
ncbi-geneid:11508689,mtm:MYCTH_109533
ncbi-geneid:11505457,mtm:MYCTH_109542
ncbi-geneid:11505696,mtm:MYCTH_109566
ncbi-geneid:11505935,mtm:MYCTH_109620
ncbi-geneid:11508244,mtm:MYCTH_109638
ncbi-geneid:11505572,mtm:MYCTH_109756
ncbi-geneid:11514350,mtm:MYCTH_109790
ncbi-geneid:11514341,mtm:MYCTH_109795
ncbi-geneid:11514296,mtm:MYCTH_109817
ncbi-geneid:11514291,mtm:MYCTH_109821
ncbi-geneid:11514010,mtm:MYCTH_109870
ncbi-geneid:11513995,mtm:MYCTH_109876
ncbi-geneid:11513859,mtm:MYCTH_109897
ncbi-geneid:11513722,mtm:MYCTH_109914
ncbi-geneid:11513937,mtm:MYCTH_10995
ncbi-geneid:11509039,mtm:MYCTH_109978
ncbi-geneid:11514609,mtm:MYCTH_110022
ncbi-geneid:11514642,mtm:MYCTH_110028
ncbi-geneid:11506185,mtm:MYCTH_110038
ncbi-geneid:11506203,mtm:MYCTH_110042
ncbi-geneid:11506243,mtm:MYCTH_110061
ncbi-geneid:11509125,mtm:MYCTH_110187
ncbi-geneid:11508944,mtm:MYCTH_110298
ncbi-geneid:11508231,mtm:MYCTH_110317
ncbi-geneid:11505744,mtm:MYCTH_110470
ncbi-geneid:11508667,mtm:MYCTH_110475
ncbi-geneid:11509167,mtm:MYCTH_110510
ncbi-geneid:11511575,mtm:MYCTH_110532
ncbi-geneid:11505880,mtm:MYCTH_110536
ncbi-geneid:11509116,mtm:MYCTH_110640
ncbi-geneid:11505839,mtm:MYCTH_110651
ncbi-geneid:11505960,mtm:MYCTH_110670
ncbi-geneid:11505621,mtm:MYCTH_110674
ncbi-geneid:11513098,mtm:MYCTH_110717
ncbi-geneid:11512464,mtm:MYCTH_110792
ncbi-geneid:11512415,mtm:MYCTH_110806
ncbi-geneid:11512379,mtm:MYCTH_110817
ncbi-geneid:11512371,mtm:MYCTH_110821
ncbi-geneid:11512259,mtm:MYCTH_110871
ncbi-geneid:11512190,mtm:MYCTH_110897
ncbi-geneid:11510860,mtm:MYCTH_110931
ncbi-geneid:11510822,mtm:MYCTH_110951
ncbi-geneid:11510813,mtm:MYCTH_110956
ncbi-geneid:11510655,mtm:MYCTH_111030
ncbi-geneid:11510650,mtm:MYCTH_111035
ncbi-geneid:11510649,mtm:MYCTH_111036
ncbi-geneid:11510520,mtm:MYCTH_111073
ncbi-geneid:11510466,mtm:MYCTH_111088
ncbi-geneid:11510432,mtm:MYCTH_111107
ncbi-geneid:11512139,mtm:MYCTH_111172
ncbi-geneid:11512136,mtm:MYCTH_111173
ncbi-geneid:11512027,mtm:MYCTH_111214
ncbi-geneid:11511721,mtm:MYCTH_111314
ncbi-geneid:11509754,mtm:MYCTH_111331
ncbi-geneid:11509397,mtm:MYCTH_111372
ncbi-geneid:11509289,mtm:MYCTH_111377
ncbi-geneid:11509856,mtm:MYCTH_111388
ncbi-geneid:11509232,mtm:MYCTH_111405
ncbi-geneid:11507936,mtm:MYCTH_111425
ncbi-geneid:11507493,mtm:MYCTH_111604
ncbi-geneid:11507378,mtm:MYCTH_111645
ncbi-geneid:11512562,mtm:MYCTH_111741
ncbi-geneid:11506254,mtm:MYCTH_111770
ncbi-geneid:11514511,mtm:MYCTH_111814
ncbi-geneid:11514234,mtm:MYCTH_111845
ncbi-geneid:11513744,mtm:MYCTH_111934
ncbi-geneid:11513440,mtm:MYCTH_111987
ncbi-geneid:11510170,mtm:MYCTH_112014
ncbi-geneid:11506415,mtm:MYCTH_112025
ncbi-geneid:11511462,mtm:MYCTH_112050
ncbi-geneid:11511452,mtm:MYCTH_112051
ncbi-geneid:11511483,mtm:MYCTH_112080
ncbi-geneid:11511286,mtm:MYCTH_112086
ncbi-geneid:11511276,mtm:MYCTH_112089
ncbi-geneid:11511210,mtm:MYCTH_112121
ncbi-geneid:11511181,mtm:MYCTH_112136
ncbi-geneid:11511180,mtm:MYCTH_112137
ncbi-geneid:11511144,mtm:MYCTH_112159
ncbi-geneid:11510995,mtm:MYCTH_112204
ncbi-geneid:11510930,mtm:MYCTH_112227
ncbi-geneid:11506881,mtm:MYCTH_112306
ncbi-geneid:11506735,mtm:MYCTH_112322
ncbi-geneid:11506726,mtm:MYCTH_112329
ncbi-geneid:11506459,mtm:MYCTH_112362
ncbi-geneid:11506458,mtm:MYCTH_112363
ncbi-geneid:11509950,mtm:MYCTH_112399
ncbi-geneid:11509837,mtm:MYCTH_112411
ncbi-geneid:11509659,mtm:MYCTH_112442
ncbi-geneid:11509528,mtm:MYCTH_112471
ncbi-geneid:11509479,mtm:MYCTH_112491
ncbi-geneid:11509460,mtm:MYCTH_112498
ncbi-geneid:11507012,mtm:MYCTH_112612
ncbi-geneid:11506538,mtm:MYCTH_112686
ncbi-geneid:11506403,mtm:MYCTH_112699
ncbi-geneid:11506399,mtm:MYCTH_112700
ncbi-geneid:11513677,mtm:MYCTH_112714
ncbi-geneid:11513670,mtm:MYCTH_112716
ncbi-geneid:11505387,mtm:MYCTH_112802
ncbi-geneid:11508125,mtm:MYCTH_112805
ncbi-geneid:11512802,mtm:MYCTH_112815
ncbi-geneid:11508500,mtm:MYCTH_112824
ncbi-geneid:11508504,mtm:MYCTH_112826
ncbi-geneid:11508802,mtm:MYCTH_112850
ncbi-geneid:11506088,mtm:MYCTH_112889
ncbi-geneid:11508372,mtm:MYCTH_112905
ncbi-geneid:11506073,mtm:MYCTH_112916
ncbi-geneid:11512804,mtm:MYCTH_112924
ncbi-geneid:11508861,mtm:MYCTH_112996
ncbi-geneid:11513235,mtm:MYCTH_113066
ncbi-geneid:11508471,mtm:MYCTH_113138
ncbi-geneid:11514336,mtm:MYCTH_113236
ncbi-geneid:11514334,mtm:MYCTH_113239
ncbi-geneid:11513834,mtm:MYCTH_113387
ncbi-geneid:11511544,mtm:MYCTH_113450
ncbi-geneid:11508120,mtm:MYCTH_113457
ncbi-geneid:11506187,mtm:MYCTH_113577
ncbi-geneid:11506231,mtm:MYCTH_113600
ncbi-geneid:11506049,mtm:MYCTH_113715
ncbi-geneid:11508478,mtm:MYCTH_113886
ncbi-geneid:11508095,mtm:MYCTH_113912
ncbi-geneid:11505514,mtm:MYCTH_113985
ncbi-geneid:11507986,mtm:MYCTH_114008
ncbi-geneid:11505467,mtm:MYCTH_114083
ncbi-geneid:11509134,mtm:MYCTH_114107
ncbi-geneid:11513342,mtm:MYCTH_114166
ncbi-geneid:11508705,mtm:MYCTH_114237
ncbi-geneid:11505414,mtm:MYCTH_114376
ncbi-geneid:11506080,mtm:MYCTH_114482
ncbi-geneid:11508003,mtm:MYCTH_114497
ncbi-geneid:11512497,mtm:MYCTH_114666
ncbi-geneid:11512496,mtm:MYCTH_114667
ncbi-geneid:11512478,mtm:MYCTH_114678
ncbi-geneid:11512454,mtm:MYCTH_114691
ncbi-geneid:11512401,mtm:MYCTH_114710
ncbi-geneid:11512367,mtm:MYCTH_114734
ncbi-geneid:11512361,mtm:MYCTH_114738
ncbi-geneid:11512267,mtm:MYCTH_114796
ncbi-geneid:11510776,mtm:MYCTH_114955
ncbi-geneid:11510634,mtm:MYCTH_115028
ncbi-geneid:11510570,mtm:MYCTH_115052
ncbi-geneid:11510494,mtm:MYCTH_115096
ncbi-geneid:11510456,mtm:MYCTH_115110
ncbi-geneid:11510309,mtm:MYCTH_115198
ncbi-geneid:11509572,mtm:MYCTH_115501
ncbi-geneid:11507904,mtm:MYCTH_115624
ncbi-geneid:11507699,mtm:MYCTH_115754
ncbi-geneid:11507607,mtm:MYCTH_115802
ncbi-geneid:11507525,mtm:MYCTH_115858
ncbi-geneid:11507480,mtm:MYCTH_115886
ncbi-geneid:11509867,mtm:MYCTH_115909
ncbi-geneid:11507393,mtm:MYCTH_115935
ncbi-geneid:11507383,mtm:MYCTH_115944
ncbi-geneid:11507354,mtm:MYCTH_115957
ncbi-geneid:11512780,mtm:MYCTH_115968
ncbi-geneid:11512759,mtm:MYCTH_115983
ncbi-geneid:11512728,mtm:MYCTH_116006
ncbi-geneid:11512703,mtm:MYCTH_116020
ncbi-geneid:11506134,mtm:MYCTH_116157
ncbi-geneid:11514565,mtm:MYCTH_116175
ncbi-geneid:11514374,mtm:MYCTH_116237
ncbi-geneid:11514248,mtm:MYCTH_116261
ncbi-geneid:11514052,mtm:MYCTH_116322
ncbi-geneid:11513936,mtm:MYCTH_116348
ncbi-geneid:11513915,mtm:MYCTH_116363
ncbi-geneid:11513803,mtm:MYCTH_116384
ncbi-geneid:11513442,mtm:MYCTH_116510
ncbi-geneid:11510193,mtm:MYCTH_116553
ncbi-geneid:11513416,mtm:MYCTH_11658
ncbi-geneid:11510008,mtm:MYCTH_116603
ncbi-geneid:11511467,mtm:MYCTH_116629
ncbi-geneid:11511312,mtm:MYCTH_116679
ncbi-geneid:11510958,mtm:MYCTH_116881
ncbi-geneid:11510948,mtm:MYCTH_116885
ncbi-geneid:11507092,mtm:MYCTH_116956
ncbi-geneid:11506607,mtm:MYCTH_117063
ncbi-geneid:11506592,mtm:MYCTH_117073
ncbi-geneid:11509968,mtm:MYCTH_117145
ncbi-geneid:11509964,mtm:MYCTH_117146
ncbi-geneid:11509955,mtm:MYCTH_117150
ncbi-geneid:11509765,mtm:MYCTH_117206
ncbi-geneid:11509682,mtm:MYCTH_117209
ncbi-geneid:11509632,mtm:MYCTH_117245
ncbi-geneid:11507267,mtm:MYCTH_117406
ncbi-geneid:11507152,mtm:MYCTH_117428
ncbi-geneid:11507141,mtm:MYCTH_117436
ncbi-geneid:11510133,mtm:MYCTH_117478
ncbi-geneid:11506867,mtm:MYCTH_117495
ncbi-geneid:11513691,mtm:MYCTH_117620
ncbi-geneid:11513672,mtm:MYCTH_117625
ncbi-geneid:11513515,mtm:MYCTH_117681
ncbi-geneid:11511281,mtm:MYCTH_11798
ncbi-geneid:11505573,mtm:MYCTH_12171
ncbi-geneid:11508879,mtm:MYCTH_122893
ncbi-geneid:11512862,mtm:MYCTH_122939
ncbi-geneid:11512400,mtm:MYCTH_12812
ncbi-geneid:11506293,mtm:MYCTH_13170
ncbi-geneid:11507244,mtm:MYCTH_140260
ncbi-geneid:11506348,mtm:MYCTH_140261
ncbi-geneid:11508109,mtm:MYCTH_14609
ncbi-geneid:11506400,mtm:MYCTH_15682
ncbi-geneid:11510279,mtm:MYCTH_15789
ncbi-geneid:11506466,mtm:MYCTH_16152
ncbi-geneid:11508431,mtm:MYCTH_16224
ncbi-geneid:11510177,mtm:MYCTH_16301
ncbi-geneid:11507764,mtm:MYCTH_16353
ncbi-geneid:11509343,mtm:MYCTH_17263
ncbi-geneid:11507125,mtm:MYCTH_17562
ncbi-geneid:11513732,mtm:MYCTH_17585
ncbi-geneid:11506281,mtm:MYCTH_17759
ncbi-geneid:11506959,mtm:MYCTH_18938
ncbi-geneid:11509931,mtm:MYCTH_19035
ncbi-geneid:11507635,mtm:MYCTH_2018629
ncbi-geneid:11506751,mtm:MYCTH_2018746
ncbi-geneid:11508971,mtm:MYCTH_2019108
ncbi-geneid:11507479,mtm:MYCTH_2019141
ncbi-geneid:11514260,mtm:MYCTH_2019371
ncbi-geneid:11512547,mtm:MYCTH_2019378
ncbi-geneid:11506212,mtm:MYCTH_2019397
ncbi-geneid:11512502,mtm:MYCTH_2019739
ncbi-geneid:11510394,mtm:MYCTH_2019888
ncbi-geneid:11514566,mtm:MYCTH_2020046
ncbi-geneid:11511556,mtm:MYCTH_2020422
ncbi-geneid:11508300,mtm:MYCTH_2020707
ncbi-geneid:11507215,mtm:MYCTH_2020741
ncbi-geneid:11509864,mtm:MYCTH_2022110
ncbi-geneid:11511844,mtm:MYCTH_2022424
ncbi-geneid:11511323,mtm:MYCTH_2022670
ncbi-geneid:11511912,mtm:MYCTH_2023079
ncbi-geneid:11510238,mtm:MYCTH_2023245
ncbi-geneid:11511334,mtm:MYCTH_2023927
ncbi-geneid:11506785,mtm:MYCTH_2023929
ncbi-geneid:11512121,mtm:MYCTH_2024024
ncbi-geneid:11510689,mtm:MYCTH_2024695
ncbi-geneid:11507098,mtm:MYCTH_2025277
ncbi-geneid:11512433,mtm:MYCTH_2025626
ncbi-geneid:11511474,mtm:MYCTH_2025813
ncbi-geneid:11514086,mtm:MYCTH_2025957
ncbi-geneid:11506717,mtm:MYCTH_2026083
ncbi-geneid:11511903,mtm:MYCTH_2026137
ncbi-geneid:11511083,mtm:MYCTH_2026172
ncbi-geneid:11511436,mtm:MYCTH_2027194
ncbi-geneid:11509185,mtm:MYCTH_2028011
ncbi-geneid:11509020,mtm:MYCTH_2028710
ncbi-geneid:11513473,mtm:MYCTH_2028839
ncbi-geneid:11505615,mtm:MYCTH_2029285
ncbi-geneid:11509807,mtm:MYCTH_2029356
ncbi-geneid:11505375,mtm:MYCTH_2029593
ncbi-geneid:11512490,mtm:MYCTH_2029812
ncbi-geneid:11508896,mtm:MYCTH_2029952
ncbi-geneid:11507031,mtm:MYCTH_2030078
ncbi-geneid:11513108,mtm:MYCTH_2030361
ncbi-geneid:11506262,mtm:MYCTH_2030430
ncbi-geneid:11509524,mtm:MYCTH_2030495
ncbi-geneid:11505464,mtm:MYCTH_2030723
ncbi-geneid:11507808,mtm:MYCTH_2030873
ncbi-geneid:11508914,mtm:MYCTH_2031061
ncbi-geneid:11506858,mtm:MYCTH_2031268
ncbi-geneid:11511054,mtm:MYCTH_2031276
ncbi-geneid:11506729,mtm:MYCTH_2031317
ncbi-geneid:11505563,mtm:MYCTH_2031554
ncbi-geneid:11512966,mtm:MYCTH_2031594
ncbi-geneid:11513905,mtm:MYCTH_2031920
ncbi-geneid:11513178,mtm:MYCTH_2031956
ncbi-geneid:11511889,mtm:MYCTH_2032045
ncbi-geneid:11513800,mtm:MYCTH_2032127
ncbi-geneid:11512051,mtm:MYCTH_2032303
ncbi-geneid:11510294,mtm:MYCTH_2032845
