ncbi-proteinid:XP_003660026,mtm:MYCTH_100011
ncbi-proteinid:XP_003662402,mtm:MYCTH_100068
ncbi-proteinid:XP_003662373,mtm:MYCTH_100089
ncbi-proteinid:XP_003662324,mtm:MYCTH_100127
ncbi-proteinid:XP_003662142,mtm:MYCTH_100290
ncbi-proteinid:XP_003662022,mtm:MYCTH_100400
ncbi-proteinid:XP_003662021,mtm:MYCTH_100401
ncbi-proteinid:XP_003661983,mtm:MYCTH_100435
ncbi-proteinid:XP_003661928,mtm:MYCTH_100489
ncbi-proteinid:XP_003661887,mtm:MYCTH_100518
ncbi-proteinid:XP_003661886,mtm:MYCTH_100519
ncbi-proteinid:XP_003661859,mtm:MYCTH_100541
ncbi-proteinid:XP_003661821,mtm:MYCTH_100566
ncbi-proteinid:XP_003661790,mtm:MYCTH_100589
ncbi-proteinid:XP_003661760,mtm:MYCTH_100608
ncbi-proteinid:XP_003661706,mtm:MYCTH_100654
ncbi-proteinid:XP_003661596,mtm:MYCTH_100744
ncbi-proteinid:XP_003661561,mtm:MYCTH_100777
ncbi-proteinid:XP_003661520,mtm:MYCTH_100809
ncbi-proteinid:XP_003661482,mtm:MYCTH_100838
ncbi-proteinid:XP_003661319,mtm:MYCTH_100975
ncbi-proteinid:XP_003661267,mtm:MYCTH_101019
ncbi-proteinid:XP_003661162,mtm:MYCTH_101105
ncbi-proteinid:XP_003661159,mtm:MYCTH_101107
ncbi-proteinid:XP_003661086,mtm:MYCTH_101172
ncbi-proteinid:XP_003663650,mtm:MYCTH_101222
ncbi-proteinid:XP_003663647,mtm:MYCTH_101224
ncbi-proteinid:XP_003663601,mtm:MYCTH_101261
ncbi-proteinid:XP_003663513,mtm:MYCTH_101321
ncbi-proteinid:XP_003663468,mtm:MYCTH_101345
ncbi-proteinid:XP_003663452,mtm:MYCTH_101354
ncbi-proteinid:XP_003663388,mtm:MYCTH_101394
ncbi-proteinid:XP_003663383,mtm:MYCTH_101399
ncbi-proteinid:XP_003663376,mtm:MYCTH_101406
ncbi-proteinid:XP_003663371,mtm:MYCTH_101411
ncbi-proteinid:XP_003663264,mtm:MYCTH_101506
ncbi-proteinid:XP_003663192,mtm:MYCTH_101575
ncbi-proteinid:XP_003663179,mtm:MYCTH_101588
ncbi-proteinid:XP_003663139,mtm:MYCTH_101623
ncbi-proteinid:XP_003663078,mtm:MYCTH_101673
ncbi-proteinid:XP_003663074,mtm:MYCTH_101679
ncbi-proteinid:XP_003663020,mtm:MYCTH_101730
ncbi-proteinid:XP_003665602,mtm:MYCTH_10175
ncbi-proteinid:XP_003662980,mtm:MYCTH_101762
