Sample ID	Sample Name	Experiment	Run	Series Accession	Study Title	Species	Model	Library Seletion	Library Source	Library Strategy	Samples	Strain	Carbon Sources	Temperature	Time	Year
mt001001	GSM675519	 SRX043463	SRR101401	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	Barley_34C_rep1	wt	Barley	34°		2011 Oct
mt001002	GSM675520,GSM675523	 SRX043464, SRX043467	SRR101402,SRR101405	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	Barley_45C_rep1,Barley_45C_rep2	wt	Barley	45°		2011 Oct
mt001003	GSM675524,GSM675525	 SRX043468, SRX043469	SRR101406,SRR101407	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	Glucose_34C_rep1,Glucose_45C_rep2	wt	Glucose	34°		2011 Oct
mt001004	GSM675521	 SRX043465	SRR101403	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	Glucose_45C_rep1	wt	Glucose	45°		2011 Oct
mt001005	GSM675522	 SRX043466	SRR101404	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	Alfalfa_45C_rep1	wt	Alfalfa	45°		2011 Oct
mt002001	GSM1377689	 SRX530464	SRR1267418	GSE57235	Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	oat_45C	wt	Oat	45°		2014 Nov
mt002002	GSM1377690	 SRX530465	SRR1267419	GSE57235	Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	triticale_45C	wt	Triticale	45°		2014 Nov
mt002003	GSM1377691	 SRX530466	SRR1267420	GSE57235	Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	canola_45C	wt	Canola	45°		2014 Nov
mt002004	GSM1377692	 SRX530467	SRR1267421	GSE57235	Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	Myceliphothora thermophila	Illumina Genome Analyzer II	cDNA	transcriptomic	RNA-Seq	flax_45C	wt	Flax	45°		2014 Nov
mt003001	GSM2977199,GSM2977200	 SRX3643305, SRX3643306	SRR6666444,SRR6666445	GSE110062	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	NoCarbon4h_1,NoCarbon4h_2	wt	NoCarbon	45°	4h	2018 Oct
