Sample ID,Series Accession,Study Title,Condition,PMID
mt001001,GSE27323,"Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum",wt_Barley_34°,21964414
mt001002,GSE27323,"Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum",wt_Barley_45°,21964414
mt001003,GSE27323,"Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum",wt_Glucose_34°,21964414
mt001004,GSE27323,"Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum",wt_Glucose_45°,21964414
mt001005,GSE27323,"Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum",wt_Alfalfa_45°,21964414
mt002001,GSE57235,Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile),wt_Oat_45°,24881579
mt002002,GSE57235,Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile),wt_Triticale_45°,24881579
mt002003,GSE57235,Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile),wt_Canola_45°,24881579
mt002004,GSE57235,Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile),wt_Flax_45°,24881579
mt003001,GSE110062,Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation,wt_NoCarbon_45°_4h,29843921
mt003002,GSE110062,Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation,wt_Glucose_45°_4h,29843921
mt003003,GSE110062,Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation,wt_Starch_45°_4h,29843921
mt004001,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,wt_Glucose_37°_2h,31534479
mt004002,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,wt_Xylose_37°_2h,31534479
mt004003,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,wt_Arabinose_37°_2h,31534479
mt004004,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,wt_Arabinoxylan_37°_2h,31534479
mt004005,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,wt_Arabinoxylan_37°_8h,31534479
mt004006,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,Xyr1 mutant_Glucose_37°_2h,31534479
mt004007,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,Xyr1 mutant_Xylose_37°_2h,31534479
mt004008,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,Xyr1 mutant_Arabinose_37°_2h,31534479
mt004009,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,Xyr1 mutant_Arabinoxylan_37°_2h,31534479
mt004010,GSE137286,Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism,Xyr1 mutant_Arabinoxylan_37°_8h,31534479
mt005001,GSE111986,A novel conserved transcription factor CLR-4 regulates cellulase genes expression through controlling the intracellular cAMP level in ascomycete fungi,Mtclr_NoCarbon_45°_4h,30474279
mt005002,GSE111986,A novel conserved transcription factor CLR-4 regulates cellulase genes expression through controlling the intracellular cAMP level in ascomycete fungi,wt_NoCarbon_45°_4h,30474279
mt006001,GSE114057,Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose,wt_Avicel_45°,31078793
mt006002,GSE114057,Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose,JG141_Avicel_45°,31078793
mt006003,GSE114057,Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose,JG207_Avicel_45°,31078793
mt006004,GSE114057,Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose,JG207Ncclr2_Avicel_45°,31078793
mt006005,GSE114057,Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose,JG336_Avicel_45°,31078793
mt006006,GSE114057,Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose,wt_Glucose_45°,31078793
mt006007,GSE114057,Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose,JG207_Glucose_45°,31078793
mt007001,GSE165516,Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization,wt_NoCarbon_45°,33995328
mt007002,GSE165516,Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization,wt_Glucose_45°,33995328
mt007003,GSE165516,Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization,wt_Gal_45°,33995328
mt007004,GSE165516,Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization,wt_Gal_45°,33995328
mt007005,GSE165516,Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization,OEgal2_Gal_45°,33995328
mt007006,GSE165516,Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization,OEgal2_Gal_45°,33995328
mt009001,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,wt_Glucose_45°_2d,36478865
mt009002,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,wt_Glucose_45°_4d,36478865
mt009003,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,Δpfk2_Glucose_45°_2d,36478865
mt009004,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,Δpfk2_Glucose_45°_4d,36478865
mt009005,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,Δpfk2_Glucose_45°_2d,36478865
mt009006,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,Δpfk2_Glucose_45°_2d,36478865
mt009007,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,Δpfk2_Glucose_45°_4d,36478865
mt009008,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,Δpfk2_Glucose_45°_2d,36478865
mt009009,GSE214142,PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila,Δpfk2_Glucose_45°_4d,36478865
mt010001,GSE184074,Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila,wt_Glucose_35°_66h,35257374
mt010002,GSE184074,Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila,wt_Glucose_40°_40h,35257374
mt010003,GSE184074,Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila,wt_Glucose_45°_40h,35257374
mt010004,GSE184074,Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila,wt_Glucose_50°_40h,35257374
mt011001,GSE205182,"MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila",ΔMycth_90344_Avicel_45°_4h,36165620
