Sample ID	Series Accession	Title	Condition	PMID
mt001001	GSE27323	Comparative genomic analysis of the thermophilic biomass-degrading fungi Myceliophthora thermophila and Thielavia terrestris.	wt Barley 34° 	21964414
mt001002	GSE27323	Comparative genomic analysis of the thermophilic biomass-degrading fungi Myceliophthora thermophila and Thielavia terrestris.	wt Barley 45° 	21964414
mt001003	GSE27323	Comparative genomic analysis of the thermophilic biomass-degrading fungi Myceliophthora thermophila and Thielavia terrestris.	wt Glucose 34° 	21964414
mt001004	GSE27323	Comparative genomic analysis of the thermophilic biomass-degrading fungi Myceliophthora thermophila and Thielavia terrestris.	wt Glucose 45° 	21964414
mt001005	GSE27323	Comparative genomic analysis of the thermophilic biomass-degrading fungi Myceliophthora thermophila and Thielavia terrestris.	wt Alfalfa 45° 	21964414
mt002001	GSE57235	Transcriptome and exoproteome analysis of utilization of plant-derived biomass by Myceliophthora thermophila.	wt Oat 45° early growth stage	24881579
mt002002	GSE57235	Transcriptome and exoproteome analysis of utilization of plant-derived biomass by Myceliophthora thermophila.	wt Triticale 45° early growth stage	24881579
mt002003	GSE57235	Transcriptome and exoproteome analysis of utilization of plant-derived biomass by Myceliophthora thermophila.	wt Canola 45° early growth stage	24881579
mt002004	GSE57235	Transcriptome and exoproteome analysis of utilization of plant-derived biomass by Myceliophthora thermophila.	wt Flax 45° early growth stage	24881579
mt003001	GSE110062	Transcriptional analysis of Myceliophthora thermophila on soluble starch and role of regulator AmyR on polysaccharide degradation.	wt NoCarbon 45° 4h	29843921
mt003002	GSE110062	Transcriptional analysis of Myceliophthora thermophila on soluble starch and role of regulator AmyR on polysaccharide degradation.	wt Glucose 45° 4h	29843921
mt003003	GSE110062	Transcriptional analysis of Myceliophthora thermophila on soluble starch and role of regulator AmyR on polysaccharide degradation.	wt Starch 45° 4h	29843921
mt004001	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	wt Glucose 37° 2h	31534479
mt004002	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	wt Xylose 37° 2h	31534479
mt004003	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	wt Arabinose 37° 2h	31534479
mt004004	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	wt Arabinoxylan 37° 2h	31534479
mt004005	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	wt Arabinoxylan 37° 8h	31534479
mt004006	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	Xyr1 mutant Glucose 37° 2h	31534479
mt004007	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	Xyr1 mutant Xylose 37° 2h	31534479
mt004008	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	Xyr1 mutant Arabinose 37° 2h	31534479
mt004009	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	Xyr1 mutant Arabinoxylan 37° 2h	31534479
mt004010	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism.	Xyr1 mutant Arabinoxylan 37° 8h	31534479
mt005001	GSE111986	CLR-4, a novel conserved transcription factor for cellulase gene expression in ascomycete fungi.	Mtclr NoCarbon 45° 4h	30474279
mt005002	GSE111986	CLR-4, a novel conserved transcription factor for cellulase gene expression in ascomycete fungi.	wt NoCarbon 45° 4h	30474279
mt006001	GSE114057	Direct production of commodity chemicals from lignocellulose using Myceliophthora thermophila.	wt Avicel 45° 2 or 4d	31078793
mt006002	GSE114057	Direct production of commodity chemicals from lignocellulose using Myceliophthora thermophila.	JG141 Avicel 45° 2 or 4d	31078793
mt006003	GSE114057	Direct production of commodity chemicals from lignocellulose using Myceliophthora thermophila.	JG207 Avicel 45° 2 or 4d	31078793
mt006004	GSE114057	Direct production of commodity chemicals from lignocellulose using Myceliophthora thermophila.	JG207Ncclr2 Avicel 45° 2 or 4d	31078793
mt006005	GSE114057	Direct production of commodity chemicals from lignocellulose using Myceliophthora thermophila.	JG336 Avicel 45° 2 or 4d	31078793
