ncbi-geneid:3873166,ncr:NCU00003
ncbi-geneid:3873167,ncr:NCU00004
ncbi-geneid:3873168,ncr:NCU00005
ncbi-geneid:3873169,ncr:NCU00006
ncbi-geneid:3873170,ncr:NCU00007
ncbi-geneid:3873171,ncr:NCU00008
ncbi-geneid:3873172,ncr:NCU00009
ncbi-geneid:3873135,ncr:NCU00010
ncbi-geneid:3873136,ncr:NCU00011
ncbi-geneid:3873138,ncr:NCU00013
ncbi-geneid:3873139,ncr:NCU00014
ncbi-geneid:3873140,ncr:NCU00015
ncbi-geneid:3873142,ncr:NCU00017
ncbi-geneid:3873143,ncr:NCU00018
ncbi-geneid:3873144,ncr:NCU00019
ncbi-geneid:3873146,ncr:NCU00021
ncbi-geneid:3873147,ncr:NCU00022
ncbi-geneid:3873148,ncr:NCU00023
ncbi-geneid:3873149,ncr:NCU00024
ncbi-geneid:3873150,ncr:NCU00025
ncbi-geneid:3873151,ncr:NCU00026
ncbi-geneid:3873152,ncr:NCU00027
ncbi-geneid:3873153,ncr:NCU00028
ncbi-geneid:3873154,ncr:NCU00029
ncbi-geneid:3873155,ncr:NCU00030
ncbi-geneid:3873156,ncr:NCU00031
ncbi-geneid:3873157,ncr:NCU00032
ncbi-geneid:23568334,ncr:NCU00033
ncbi-geneid:3873159,ncr:NCU00034
ncbi-geneid:3873160,ncr:NCU00035
ncbi-geneid:3873162,ncr:NCU00037
ncbi-geneid:3873163,ncr:NCU00038
ncbi-geneid:3872302,ncr:NCU00039
ncbi-geneid:3872303,ncr:NCU00040
ncbi-geneid:3872304,ncr:NCU00041
ncbi-geneid:3872305,ncr:NCU00042
ncbi-geneid:3872306,ncr:NCU00043
ncbi-geneid:3872308,ncr:NCU00045
ncbi-geneid:3872309,ncr:NCU00046
ncbi-geneid:3872310,ncr:NCU00047
ncbi-geneid:3872297,ncr:NCU00048
ncbi-geneid:3872299,ncr:NCU00050
ncbi-geneid:3872300,ncr:NCU00051
ncbi-geneid:3872301,ncr:NCU00052
ncbi-geneid:3871952,ncr:NCU00054
ncbi-geneid:3871953,ncr:NCU00055
ncbi-geneid:3871946,ncr:NCU00056
ncbi-geneid:3871947,ncr:NCU00057
ncbi-geneid:3871949,ncr:NCU00059
ncbi-geneid:3871950,ncr:NCU00060
ncbi-geneid:3872532,ncr:NCU00061
ncbi-geneid:3872535,ncr:NCU00064
ncbi-geneid:3872536,ncr:NCU00065
ncbi-geneid:3872537,ncr:NCU00066
ncbi-geneid:3872538,ncr:NCU00067
ncbi-geneid:3872539,ncr:NCU00068
ncbi-geneid:3872540,ncr:NCU00069
ncbi-geneid:3872518,ncr:NCU00070
ncbi-geneid:3872519,ncr:NCU00071
ncbi-geneid:3872520,ncr:NCU00072
ncbi-geneid:3872521,ncr:NCU00073
ncbi-geneid:3872522,ncr:NCU00074
ncbi-geneid:3872523,ncr:NCU00075
ncbi-geneid:3872524,ncr:NCU00076
ncbi-geneid:3872525,ncr:NCU00077
ncbi-geneid:3872526,ncr:NCU00078
ncbi-geneid:3872527,ncr:NCU00079
ncbi-geneid:3872528,ncr:NCU00080
ncbi-geneid:3872529,ncr:NCU00081
ncbi-geneid:3872530,ncr:NCU00082
ncbi-geneid:3872531,ncr:NCU00083
ncbi-geneid:3873371,ncr:NCU00084
ncbi-geneid:3873372,ncr:NCU00085
ncbi-geneid:3873373,ncr:NCU00086
ncbi-geneid:3873374,ncr:NCU00087
ncbi-geneid:3873375,ncr:NCU00088
ncbi-geneid:3873376,ncr:NCU00089
ncbi-geneid:3873377,ncr:NCU00090
ncbi-geneid:3873378,ncr:NCU00091
ncbi-geneid:3873379,ncr:NCU00092
ncbi-geneid:3873380,ncr:NCU00093
ncbi-geneid:3873382,ncr:NCU00095
ncbi-geneid:3873383,ncr:NCU00096
ncbi-geneid:3873384,ncr:NCU00097
ncbi-geneid:3873386,ncr:NCU00099
ncbi-geneid:3873387,ncr:NCU00100
ncbi-geneid:3873388,ncr:NCU00101
ncbi-geneid:3873389,ncr:NCU00102
ncbi-geneid:3873390,ncr:NCU00103
ncbi-geneid:3873391,ncr:NCU00104
ncbi-geneid:3873392,ncr:NCU00105
ncbi-geneid:3873393,ncr:NCU00106
ncbi-geneid:3873394,ncr:NCU00107
ncbi-geneid:3873395,ncr:NCU00108
ncbi-geneid:3873355,ncr:NCU00109
ncbi-geneid:3873356,ncr:NCU00110
ncbi-geneid:3873357,ncr:NCU00111
ncbi-geneid:3873358,ncr:NCU00112
ncbi-geneid:3873360,ncr:NCU00114
ncbi-geneid:3873361,ncr:NCU00115
ncbi-geneid:3873362,ncr:NCU00116
ncbi-geneid:3873363,ncr:NCU00117
ncbi-geneid:3873364,ncr:NCU00118
ncbi-geneid:3873365,ncr:NCU00119
ncbi-geneid:3873366,ncr:NCU00120
ncbi-geneid:3873367,ncr:NCU00121
ncbi-geneid:3873368,ncr:NCU00122
ncbi-geneid:3873369,ncr:NCU00123
ncbi-geneid:3873370,ncr:NCU00124
ncbi-geneid:3873396,ncr:NCU00125
ncbi-geneid:3873397,ncr:NCU00126
ncbi-geneid:3873398,ncr:NCU00127
ncbi-geneid:3872336,ncr:NCU00128
ncbi-geneid:3872337,ncr:NCU00129
ncbi-geneid:3872338,ncr:NCU00130
ncbi-geneid:3872340,ncr:NCU00132
ncbi-geneid:23568335,ncr:NCU00133
ncbi-geneid:23568336,ncr:NCU00134
