ncbi-proteinid:XP_956990,ncr:NCU00003
ncbi-proteinid:XP_956991,ncr:NCU00004
ncbi-proteinid:XP_956992,ncr:NCU00005
ncbi-proteinid:XP_011393719,ncr:NCU00006
ncbi-proteinid:XP_956994,ncr:NCU00007
ncbi-proteinid:XP_956995,ncr:NCU00008
ncbi-proteinid:XP_956996,ncr:NCU00009
ncbi-proteinid:XP_956997,ncr:NCU00010
ncbi-proteinid:XP_956998,ncr:NCU00011
ncbi-proteinid:XP_957000,ncr:NCU00013
ncbi-proteinid:XP_957001,ncr:NCU00014
ncbi-proteinid:XP_957002,ncr:NCU00015
ncbi-proteinid:XP_957004,ncr:NCU00017
ncbi-proteinid:XP_011393721,ncr:NCU00018
ncbi-proteinid:XP_957006,ncr:NCU00019
ncbi-proteinid:XP_957008,ncr:NCU00021
ncbi-proteinid:XP_957009,ncr:NCU00022
ncbi-proteinid:XP_957010,ncr:NCU00023
ncbi-proteinid:XP_011393723,ncr:NCU00024
ncbi-proteinid:XP_957012,ncr:NCU00025
ncbi-proteinid:XP_957013,ncr:NCU00026
ncbi-proteinid:XP_957014,ncr:NCU00027
ncbi-proteinid:XP_011393725,ncr:NCU00028
ncbi-proteinid:XP_957016,ncr:NCU00029
ncbi-proteinid:XP_957017,ncr:NCU00030
ncbi-proteinid:XP_957018,ncr:NCU00031
ncbi-proteinid:XP_957019,ncr:NCU00032
ncbi-proteinid:XP_011393727,ncr:NCU00033
ncbi-proteinid:XP_011393728,ncr:NCU00034
ncbi-proteinid:XP_011393730,ncr:NCU00035
ncbi-proteinid:XP_011393733,ncr:NCU00037
ncbi-proteinid:XP_957025,ncr:NCU00038
ncbi-proteinid:XP_956150,ncr:NCU00039
ncbi-proteinid:XP_956151,ncr:NCU00040
ncbi-proteinid:XP_956152,ncr:NCU00041
ncbi-proteinid:XP_956153,ncr:NCU00042
ncbi-proteinid:XP_956154,ncr:NCU00043
ncbi-proteinid:XP_956156,ncr:NCU00045
ncbi-proteinid:XP_011393734,ncr:NCU00046
ncbi-proteinid:XP_956158,ncr:NCU00047
ncbi-proteinid:XP_956159,ncr:NCU00048
ncbi-proteinid:XP_956161,ncr:NCU00050
ncbi-proteinid:XP_956162,ncr:NCU00051
ncbi-proteinid:XP_956163,ncr:NCU00052
ncbi-proteinid:XP_955805,ncr:NCU00054
ncbi-proteinid:XP_955806,ncr:NCU00055
ncbi-proteinid:XP_955799,ncr:NCU00056
ncbi-proteinid:XP_955800,ncr:NCU00057
ncbi-proteinid:XP_955802,ncr:NCU00059
ncbi-proteinid:XP_011393736,ncr:NCU00060
ncbi-proteinid:XP_956371,ncr:NCU00061
ncbi-proteinid:XP_956374,ncr:NCU00064
ncbi-proteinid:XP_956375,ncr:NCU00065
ncbi-proteinid:XP_956376,ncr:NCU00066
ncbi-proteinid:XP_956377,ncr:NCU00067
ncbi-proteinid:XP_011393739,ncr:NCU00068
ncbi-proteinid:XP_956379,ncr:NCU00069
ncbi-proteinid:XP_956380,ncr:NCU00070
ncbi-proteinid:XP_956381,ncr:NCU00071
ncbi-proteinid:XP_956382,ncr:NCU00072
ncbi-proteinid:XP_956383,ncr:NCU00073
ncbi-proteinid:XP_956384,ncr:NCU00074
ncbi-proteinid:XP_956385,ncr:NCU00075
ncbi-proteinid:XP_011393741,ncr:NCU00076
ncbi-proteinid:XP_956387,ncr:NCU00077
ncbi-proteinid:XP_956388,ncr:NCU00078
ncbi-proteinid:XP_956389,ncr:NCU00079
ncbi-proteinid:XP_956390,ncr:NCU00080
ncbi-proteinid:XP_956391,ncr:NCU00081
ncbi-proteinid:XP_956392,ncr:NCU00082
ncbi-proteinid:XP_956393,ncr:NCU00083
ncbi-proteinid:XP_957208,ncr:NCU00084
ncbi-proteinid:XP_957209,ncr:NCU00085
ncbi-proteinid:XP_957210,ncr:NCU00086
ncbi-proteinid:XP_957211,ncr:NCU00087
ncbi-proteinid:XP_957212,ncr:NCU00088
ncbi-proteinid:XP_011393743,ncr:NCU00089
ncbi-proteinid:XP_957214,ncr:NCU00090
ncbi-proteinid:XP_011393747,ncr:NCU00091
ncbi-proteinid:XP_957216,ncr:NCU00092
ncbi-proteinid:XP_957217,ncr:NCU00093
ncbi-proteinid:XP_957219,ncr:NCU00095
ncbi-proteinid:XP_957220,ncr:NCU00096
ncbi-proteinid:XP_957221,ncr:NCU00097
ncbi-proteinid:XP_957223,ncr:NCU00099
ncbi-proteinid:XP_957224,ncr:NCU00100
ncbi-proteinid:XP_957225,ncr:NCU00101
ncbi-proteinid:XP_957226,ncr:NCU00102
ncbi-proteinid:XP_957227,ncr:NCU00103
ncbi-proteinid:XP_957228,ncr:NCU00104
ncbi-proteinid:XP_957229,ncr:NCU00105
ncbi-proteinid:XP_957230,ncr:NCU00106
ncbi-proteinid:XP_957231,ncr:NCU00107
ncbi-proteinid:XP_957232,ncr:NCU00108
ncbi-proteinid:XP_011393749,ncr:NCU00109
ncbi-proteinid:XP_957234,ncr:NCU00110
ncbi-proteinid:XP_957235,ncr:NCU00111
ncbi-proteinid:XP_957236,ncr:NCU00112
ncbi-proteinid:XP_957238,ncr:NCU00114
ncbi-proteinid:XP_957239,ncr:NCU00115
ncbi-proteinid:XP_011393751,ncr:NCU00116
ncbi-proteinid:XP_957241,ncr:NCU00117
ncbi-proteinid:XP_957242,ncr:NCU00118
ncbi-proteinid:XP_957243,ncr:NCU00119
ncbi-proteinid:XP_957244,ncr:NCU00120
ncbi-proteinid:XP_957245,ncr:NCU00121
ncbi-proteinid:XP_957246,ncr:NCU00122
ncbi-proteinid:XP_957247,ncr:NCU00123
ncbi-proteinid:XP_011393754,ncr:NCU00124
ncbi-proteinid:XP_011393756,ncr:NCU00125
ncbi-proteinid:XP_957250,ncr:NCU00126
ncbi-proteinid:XP_957251,ncr:NCU00127
ncbi-proteinid:XP_956181,ncr:NCU00128
ncbi-proteinid:XP_956182,ncr:NCU00129
ncbi-proteinid:XP_011393758,ncr:NCU00130
ncbi-proteinid:XP_956185,ncr:NCU00132
ncbi-proteinid:XP_956186,ncr:NCU00133
ncbi-proteinid:XP_011393760,ncr:NCU00134
ncbi-proteinid:XP_011393762,ncr:NCU00135
ncbi-proteinid:XP_956189,ncr:NCU00136
ncbi-proteinid:XP_011393764,ncr:NCU00137
ncbi-proteinid:XP_956191,ncr:NCU00138
ncbi-proteinid:XP_956195,ncr:NCU00142
ncbi-proteinid:XP_956196,ncr:NCU00143
ncbi-proteinid:XP_011393766,ncr:NCU00144
ncbi-proteinid:XP_956658,ncr:NCU00145
ncbi-proteinid:XP_956659,ncr:NCU00146
ncbi-proteinid:XP_956660,ncr:NCU00147
ncbi-proteinid:XP_956661,ncr:NCU00148
ncbi-proteinid:XP_956662,ncr:NCU00149
ncbi-proteinid:XP_011393768,ncr:NCU00150
ncbi-proteinid:XP_956664,ncr:NCU00151
ncbi-proteinid:XP_011393771,ncr:NCU00152
ncbi-proteinid:XP_956666,ncr:NCU00153
ncbi-proteinid:XP_011393773,ncr:NCU00154
ncbi-proteinid:XP_956668,ncr:NCU00155
ncbi-proteinid:XP_956670,ncr:NCU00157
ncbi-proteinid:XP_956671,ncr:NCU00158
ncbi-proteinid:XP_956672,ncr:NCU00159
ncbi-proteinid:XP_956673,ncr:NCU00160
ncbi-proteinid:XP_011393775,ncr:NCU00161
ncbi-proteinid:XP_956675,ncr:NCU00162
ncbi-proteinid:XP_956676,ncr:NCU00163
ncbi-proteinid:XP_956677,ncr:NCU00164
ncbi-proteinid:XP_956679,ncr:NCU00166
ncbi-proteinid:XP_956680,ncr:NCU00167
ncbi-proteinid:XP_956681,ncr:NCU00168
ncbi-proteinid:XP_956682,ncr:NCU00169
ncbi-proteinid:XP_956683,ncr:NCU00170
ncbi-proteinid:XP_956394,ncr:NCU00171
ncbi-proteinid:XP_956395,ncr:NCU00172
ncbi-proteinid:XP_956396,ncr:NCU00173
ncbi-proteinid:XP_956398,ncr:NCU00175
ncbi-proteinid:XP_956399,ncr:NCU00176
ncbi-proteinid:XP_956400,ncr:NCU00177
ncbi-proteinid:XP_956401,ncr:NCU00178
ncbi-proteinid:XP_956402,ncr:NCU00179
ncbi-proteinid:XP_956403,ncr:NCU00180
ncbi-proteinid:XP_956404,ncr:NCU00181
ncbi-proteinid:XP_956405,ncr:NCU00182
ncbi-proteinid:XP_956406,ncr:NCU00183
ncbi-proteinid:XP_956407,ncr:NCU00184
ncbi-proteinid:XP_956408,ncr:NCU00185
ncbi-proteinid:XP_956409,ncr:NCU00186
ncbi-proteinid:XP_956410,ncr:NCU00187
ncbi-proteinid:XP_956411,ncr:NCU00188
ncbi-proteinid:XP_956412,ncr:NCU00189
ncbi-proteinid:XP_956415,ncr:NCU00192
ncbi-proteinid:XP_956416,ncr:NCU00193
ncbi-proteinid:XP_011393777,ncr:NCU00194
ncbi-proteinid:XP_956418,ncr:NCU00195
ncbi-proteinid:XP_011393779,ncr:NCU00196
ncbi-proteinid:XP_956420,ncr:NCU00197
ncbi-proteinid:XP_956583,ncr:NCU00198
ncbi-proteinid:XP_956584,ncr:NCU00199
ncbi-proteinid:XP_011393782,ncr:NCU00200
ncbi-proteinid:XP_011393784,ncr:NCU00201
ncbi-proteinid:XP_956587,ncr:NCU00202
ncbi-proteinid:XP_956588,ncr:NCU00203
ncbi-proteinid:XP_956589,ncr:NCU00204
ncbi-proteinid:XP_956590,ncr:NCU00205
ncbi-proteinid:XP_956591,ncr:NCU00206
ncbi-proteinid:XP_011393785,ncr:NCU00207
ncbi-proteinid:XP_956593,ncr:NCU00208
ncbi-proteinid:XP_956594,ncr:NCU00209
