gene	ncbi_gene_id	ncbi_protein_id	uniprot_id	description
mtm:MYCTH_100011	ncbi-geneid:11505753	ncbi-proteinid:XP_003660026	up:G2Q701	hypothetical protein
mtm:MYCTH_100068	ncbi-geneid:11512455	ncbi-proteinid:XP_003662402	up:G2Q913	glycoside hydrolase family 11 protein
mtm:MYCTH_100089	ncbi-geneid:11512426	ncbi-proteinid:XP_003662373	up:G2Q8Y3	Intradiol ring-cleavage dioxygenase-like protein
mtm:MYCTH_100127	ncbi-geneid:11512377	ncbi-proteinid:XP_003662324	up:G2Q8N0	hypothetical protein
mtm:MYCTH_100290	ncbi-geneid:11512195	ncbi-proteinid:XP_003662142	up:G2Q7I4	hypothetical protein
mtm:MYCTH_100400	ncbi-geneid:11510827	ncbi-proteinid:XP_003662022	up:G2QAY5	hypothetical protein
mtm:MYCTH_100401	ncbi-geneid:11510826	ncbi-proteinid:XP_003662021	up:G2QAY4	hypothetical protein
mtm:MYCTH_100435	ncbi-geneid:11510788	ncbi-proteinid:XP_003661983	up:G2QAP2	hypothetical protein
mtm:MYCTH_100489	ncbi-geneid:11510733	ncbi-proteinid:XP_003661928	up:G2QAD3	hypothetical protein
mtm:MYCTH_100518	ncbi-geneid:11510692	ncbi-proteinid:XP_003661887	up:G2QA92	glycoside hydrolase family 61 protein
mtm:MYCTH_100519	ncbi-geneid:11510691	ncbi-proteinid:XP_003661886	up:G2QA91	hypothetical protein
mtm:MYCTH_100541	ncbi-geneid:11510664	ncbi-proteinid:XP_003661859	up:G2QA10	extracellular membrane-like protein
mtm:MYCTH_100566	ncbi-geneid:11510626	ncbi-proteinid:XP_003661821	up:G2Q9W7	hypothetical protein
mtm:MYCTH_100589	ncbi-geneid:11510595	ncbi-proteinid:XP_003661790	up:G2Q9T6	fumarate reductase/succinate dehydrogenase flavo protein-like protein
mtm:MYCTH_100608	ncbi-geneid:11510565	ncbi-proteinid:XP_003661760	up:G2Q9Q6	hypothetical protein
mtm:MYCTH_100654	ncbi-geneid:11510511	ncbi-proteinid:XP_003661706	up:G2Q9K2	hypothetical protein
mtm:MYCTH_100744	ncbi-geneid:11510401	ncbi-proteinid:XP_003661596	up:G2Q959	hypothetical protein
mtm:MYCTH_100777	ncbi-geneid:11510366	ncbi-proteinid:XP_003661561	up:G2Q8X1	hypothetical protein
mtm:MYCTH_100809	ncbi-geneid:11510325	ncbi-proteinid:XP_003661520	up:G2Q8T0	hypothetical protein
mtm:MYCTH_100838	ncbi-geneid:11512161	ncbi-proteinid:XP_003661482	up:G2Q8I8	hypothetical protein
mtm:MYCTH_100975	ncbi-geneid:11511998	ncbi-proteinid:XP_003661319	up:G2Q7L6	hypothetical protein
mtm:MYCTH_101019	ncbi-geneid:11511946	ncbi-proteinid:XP_003661267	up:G2Q7B1	hypothetical protein
mtm:MYCTH_101105	ncbi-geneid:11511841	ncbi-proteinid:XP_003661162	up:G2QAS5	hypothetical protein
mtm:MYCTH_101107	ncbi-geneid:11511838	ncbi-proteinid:XP_003661159	up:G2QAS2	hypothetical protein
mtm:MYCTH_101172	ncbi-geneid:11511765	ncbi-proteinid:XP_003661086	up:G2QAE5	hypothetical protein
mtm:MYCTH_101222	ncbi-geneid:11509762	ncbi-proteinid:XP_003663650	up:G2QDZ6	hypothetical protein
mtm:MYCTH_101224	ncbi-geneid:11509759	ncbi-proteinid:XP_003663647	up:G2QDZ3	hypothetical protein
mtm:MYCTH_101261	ncbi-geneid:11509713	ncbi-proteinid:XP_003663601	up:G2QDP5	polyketide synthase
mtm:MYCTH_101321	ncbi-geneid:11509547	ncbi-proteinid:XP_003663513	up:G2QD50	hypothetical protein
mtm:MYCTH_101345	ncbi-geneid:11509424	ncbi-proteinid:XP_003663468	up:G2QCV2	hypothetical protein
mtm:MYCTH_101354	ncbi-geneid:11509408	ncbi-proteinid:XP_003663452	up:G2QCT6	carbohydrate-binding module family 1 protein
mtm:MYCTH_101394	ncbi-geneid:11509266	ncbi-proteinid:XP_003663388	up:G2QCG7	hypothetical protein
mtm:MYCTH_101399	ncbi-geneid:11509261	ncbi-proteinid:XP_003663383	up:G2QCG2	hypothetical protein
mtm:MYCTH_101406	ncbi-geneid:11509254	ncbi-proteinid:XP_003663376	up:G2QCF5	hypothetical protein
mtm:MYCTH_101411	ncbi-geneid:11509249	ncbi-proteinid:XP_003663371	up:G2QCF0	hypothetical protein
mtm:MYCTH_101506	ncbi-geneid:11507890	ncbi-proteinid:XP_003663264	up:G2QBT6	hypothetical protein
mtm:MYCTH_101575	ncbi-geneid:11507818	ncbi-proteinid:XP_003663192	up:G2QBK4	hypothetical protein
mtm:MYCTH_101588	ncbi-geneid:11507805	ncbi-proteinid:XP_003663179	up:G2QBJ1	hypothetical protein
mtm:MYCTH_101623	ncbi-geneid:11507765	ncbi-proteinid:XP_003663139	up:G2QBF1	hypothetical protein
mtm:MYCTH_101673	ncbi-geneid:11507704	ncbi-proteinid:XP_003663078	up:G2QEQ0	hypothetical protein
mtm:MYCTH_101679	ncbi-geneid:11507700	ncbi-proteinid:XP_003663074	up:G2QEP6	hypothetical protein
mtm:MYCTH_101730	ncbi-geneid:11507646	ncbi-proteinid:XP_003663020	up:G2QEJ2	hypothetical protein
mtm:MYCTH_10175	ncbi-geneid:11511362	ncbi-proteinid:XP_003665602	up:G2QIN5	hypothetical protein
mtm:MYCTH_101762	ncbi-geneid:11507606	ncbi-proteinid:XP_003662980	up:G2QEF2	hypothetical protein
mtm:MYCTH_101800	ncbi-geneid:11507564	ncbi-proteinid:XP_003662938	up:G2QEB0	glycoside hydrolase family 30 protein
mtm:MYCTH_101870	ncbi-geneid:11507486	ncbi-proteinid:XP_003662860	up:G2QE32	hypothetical protein
mtm:MYCTH_101972	ncbi-geneid:11507368	ncbi-proteinid:XP_003662742	up:G2QDI5	glycoside hydrolase family 95 protein
mtm:MYCTH_102118	ncbi-geneid:11512648	ncbi-proteinid:XP_003662572	up:G2QCK4	hypothetical protein
mtm:MYCTH_102133	ncbi-geneid:11512631	ncbi-proteinid:XP_003662555	up:G2QCD5	hypothetical protein
mtm:MYCTH_102138	ncbi-geneid:11512625	ncbi-proteinid:XP_003662549	up:G2QCC9	hypothetical protein
mtm:MYCTH_102172	ncbi-geneid:11512578	ncbi-proteinid:XP_003662502	up:G2QC30	Aldo/keto reductase-like protein
mtm:MYCTH_102226	ncbi-geneid:11506317	ncbi-proteinid:XP_003664711	up:G2QGV9	hypothetical protein
mtm:MYCTH_102290	ncbi-geneid:11506149	ncbi-proteinid:XP_003664621	up:G2QGB6	dehydrogenase-like protein
mtm:MYCTH_102295	ncbi-geneid:11506142	ncbi-proteinid:XP_003664614	up:G2QGA9	hypothetical protein
mtm:MYCTH_102297	ncbi-geneid:11506140	ncbi-proteinid:XP_003664612	up:G2QGA7	hypothetical protein
mtm:MYCTH_102322	ncbi-geneid:11506107	ncbi-proteinid:XP_003664579	up:G2QG74	polysaccharide lyase family 3 protein
mtm:MYCTH_102448	ncbi-geneid:11514359	ncbi-proteinid:XP_003664416	up:G2QFE2	hypothetical protein
mtm:MYCTH_102510	ncbi-geneid:11514203	ncbi-proteinid:XP_003664338	up:G2QF64	hypothetical protein
mtm:MYCTH_102522	ncbi-geneid:11514109	ncbi-proteinid:XP_003664322	up:G2QF48	glycoside hydrolase family 55 protein
mtm:MYCTH_102533	ncbi-geneid:11514098	ncbi-proteinid:XP_003664311	up:G2QF37	hypothetical protein
mtm:MYCTH_102652	ncbi-geneid:11513805	ncbi-proteinid:XP_003664174	up:G2QHR9	hypothetical protein
mtm:MYCTH_102790	ncbi-geneid:11513490	ncbi-proteinid:XP_003664015	up:G2QHB0	hypothetical protein
mtm:MYCTH_102792	ncbi-geneid:11513487	ncbi-proteinid:XP_003664012	up:G2QHA7	hypothetical protein
mtm:MYCTH_102797	ncbi-geneid:11513480	ncbi-proteinid:XP_003664005	up:G2QHA0	ATPase, P type cation/copper-transporter
mtm:MYCTH_102849	ncbi-geneid:11510283	ncbi-proteinid:XP_003663933	up:G2QH28	carbohydrate-binding module family 18 protein
mtm:MYCTH_102871	ncbi-geneid:11510249	ncbi-proteinid:XP_003663899	up:G2QGZ4	hypothetical protein
mtm:MYCTH_102878	ncbi-geneid:11510236	ncbi-proteinid:XP_003663886	up:G2QGY1	hypothetical protein
mtm:MYCTH_102943	ncbi-geneid:11510145	ncbi-proteinid:XP_003663795	up:G2QGD6	hypothetical protein
mtm:MYCTH_102965	ncbi-geneid:11510054	ncbi-proteinid:XP_003663764	up:G2QG54	cytochrome P450-like protein
mtm:MYCTH_102971	ncbi-geneid:11510048	ncbi-proteinid:XP_003663758	up:G2QG48	FAD linked oxidase-like protein
mtm:MYCTH_102977	ncbi-geneid:11510040	ncbi-proteinid:XP_003663750	up:G2QG40	hypothetical protein
mtm:MYCTH_102985	ncbi-geneid:11506414	ncbi-proteinid:XP_003663739	up:G2QG29	non-ribosomal peptide synthetase
mtm:MYCTH_102997	ncbi-geneid:11510005	ncbi-proteinid:XP_003663715	up:G2QFV2	hypothetical protein
mtm:MYCTH_103022	ncbi-geneid:11509876	ncbi-proteinid:XP_003663680	up:G2QFR7	hypothetical protein
mtm:MYCTH_103025	ncbi-geneid:11509873	ncbi-proteinid:XP_003663677	up:G2QFR4	hypothetical protein
mtm:MYCTH_103032	ncbi-geneid:11509907	ncbi-proteinid:XP_003663667	up:G2QFK0	glycoside hydrolase family 43 protein
mtm:MYCTH_103061	ncbi-geneid:11511443	ncbi-proteinid:XP_003665683	up:G2QJ19	polyketide synthase
mtm:MYCTH_103070	ncbi-geneid:11511429	ncbi-proteinid:XP_003665669	up:G2QJ05	chitin-binding domain protein
mtm:MYCTH_103080	ncbi-geneid:11511417	ncbi-proteinid:XP_003665657	up:G2QIZ3	Dihydrodipicolinate synthetase-like protein
mtm:MYCTH_103090	ncbi-geneid:11511403	ncbi-proteinid:XP_003665643	up:G2QIX9	hypothetical protein
mtm:MYCTH_103096	ncbi-geneid:11511487	ncbi-proteinid:XP_003665637	up:G2QIS0	polyketide synthase
mtm:MYCTH_103122	ncbi-geneid:11511359	ncbi-proteinid:XP_003665599	up:G2QIN2	hypothetical protein
mtm:MYCTH_103124	ncbi-geneid:11511355	ncbi-proteinid:XP_003665595	up:G2QIM8	hypothetical protein
mtm:MYCTH_103134	ncbi-geneid:11511338	ncbi-proteinid:XP_003665578	up:G2QIF9	hypothetical protein
mtm:MYCTH_103164	ncbi-geneid:11511282	ncbi-proteinid:XP_003665522	up:G2QI88	hypothetical protein
mtm:MYCTH_103320	ncbi-geneid:11511118	ncbi-proteinid:XP_003665358	up:G2QKK7	hypothetical protein
mtm:MYCTH_103330	ncbi-geneid:11511106	ncbi-proteinid:XP_003665346	up:G2QKJ5	hypothetical protein
