up:G2Q701,mtm:MYCTH_100011
up:G2Q913,mtm:MYCTH_100068
up:G2Q8Y3,mtm:MYCTH_100089
up:G2Q8N0,mtm:MYCTH_100127
up:G2Q7I4,mtm:MYCTH_100290
up:G2QAY5,mtm:MYCTH_100400
up:G2QAY4,mtm:MYCTH_100401
up:G2QAP2,mtm:MYCTH_100435
up:G2QAD3,mtm:MYCTH_100489
up:G2QA92,mtm:MYCTH_100518
up:G2QA91,mtm:MYCTH_100519
up:G2QA10,mtm:MYCTH_100541
up:G2Q9W7,mtm:MYCTH_100566
up:G2Q9T6,mtm:MYCTH_100589
up:G2Q9Q6,mtm:MYCTH_100608
up:G2Q9K2,mtm:MYCTH_100654
up:G2Q959,mtm:MYCTH_100744
up:G2Q8X1,mtm:MYCTH_100777
up:G2Q8T0,mtm:MYCTH_100809
up:G2Q8I8,mtm:MYCTH_100838
up:G2Q7L6,mtm:MYCTH_100975
up:G2Q7B1,mtm:MYCTH_101019
up:G2QAS5,mtm:MYCTH_101105
up:G2QAS2,mtm:MYCTH_101107
up:G2QAE5,mtm:MYCTH_101172
up:G2QDZ6,mtm:MYCTH_101222
up:G2QDZ3,mtm:MYCTH_101224
up:G2QDP5,mtm:MYCTH_101261
up:G2QD50,mtm:MYCTH_101321
up:G2QCV2,mtm:MYCTH_101345
up:G2QCT6,mtm:MYCTH_101354
up:G2QCG7,mtm:MYCTH_101394
up:G2QCG2,mtm:MYCTH_101399
up:G2QCF5,mtm:MYCTH_101406
up:G2QCF0,mtm:MYCTH_101411
up:G2QBT6,mtm:MYCTH_101506
up:G2QBK4,mtm:MYCTH_101575
up:G2QBJ1,mtm:MYCTH_101588
up:G2QBF1,mtm:MYCTH_101623
up:G2QEQ0,mtm:MYCTH_101673
up:G2QEP6,mtm:MYCTH_101679
up:G2QEJ2,mtm:MYCTH_101730
up:G2QIN5,mtm:MYCTH_10175
up:G2QEF2,mtm:MYCTH_101762
up:G2QEB0,mtm:MYCTH_101800
up:G2QE32,mtm:MYCTH_101870
up:G2QDI5,mtm:MYCTH_101972
up:G2QCK4,mtm:MYCTH_102118
up:G2QCD5,mtm:MYCTH_102133
up:G2QCC9,mtm:MYCTH_102138
up:G2QC30,mtm:MYCTH_102172
up:G2QGV9,mtm:MYCTH_102226
up:G2QGB6,mtm:MYCTH_102290
up:G2QGA9,mtm:MYCTH_102295
up:G2QGA7,mtm:MYCTH_102297
up:G2QG74,mtm:MYCTH_102322
up:G2QFE2,mtm:MYCTH_102448
up:G2QF64,mtm:MYCTH_102510
up:G2QF48,mtm:MYCTH_102522
up:G2QF37,mtm:MYCTH_102533
up:G2QHR9,mtm:MYCTH_102652
up:G2QHB0,mtm:MYCTH_102790
up:G2QHA7,mtm:MYCTH_102792
up:G2QHA0,mtm:MYCTH_102797
up:G2QH28,mtm:MYCTH_102849
up:G2QGZ4,mtm:MYCTH_102871
up:G2QGY1,mtm:MYCTH_102878
up:G2QGD6,mtm:MYCTH_102943
up:G2QG54,mtm:MYCTH_102965
up:G2QG48,mtm:MYCTH_102971
up:G2QG40,mtm:MYCTH_102977
up:G2QG29,mtm:MYCTH_102985
up:G2QFV2,mtm:MYCTH_102997
up:G2QFR7,mtm:MYCTH_103022
up:G2QFR4,mtm:MYCTH_103025
up:G2QFK0,mtm:MYCTH_103032
up:G2QJ19,mtm:MYCTH_103061
up:G2QJ05,mtm:MYCTH_103070
up:G2QIZ3,mtm:MYCTH_103080
up:G2QIX9,mtm:MYCTH_103090
up:G2QIS0,mtm:MYCTH_103096
up:G2QIN2,mtm:MYCTH_103122
up:G2QIM8,mtm:MYCTH_103124
up:G2QIF9,mtm:MYCTH_103134
up:G2QI88,mtm:MYCTH_103164
up:G2QKK7,mtm:MYCTH_103320
up:G2QKJ5,mtm:MYCTH_103330
up:G2QKJ0,mtm:MYCTH_103334
up:G2QKB3,mtm:MYCTH_103379
up:G2QJT0,mtm:MYCTH_103537
up:G2QJP4,mtm:MYCTH_103571
up:G2QJL7,mtm:MYCTH_103590
up:G2QJI1,mtm:MYCTH_103611
up:G2QJG9,mtm:MYCTH_103620
up:G2QJG1,mtm:MYCTH_103628
up:G2QJA1,mtm:MYCTH_103671
up:G2QJ35,mtm:MYCTH_103702
up:G2QIA2,mtm:MYCTH_103794
up:G2QP41,mtm:MYCTH_103797
up:G2QNW4,mtm:MYCTH_103818
up:G2QNJ3,mtm:MYCTH_103867
up:G2QN22,mtm:MYCTH_104005
up:G2QQG8,mtm:MYCTH_104059
up:G2QQE6,mtm:MYCTH_104076
up:G2QQC0,mtm:MYCTH_104102
up:G2QQB5,mtm:MYCTH_104106
up:G2QPU0,mtm:MYCTH_104267
up:G2QPF0,mtm:MYCTH_104380
up:G2QPE4,mtm:MYCTH_104386
up:G2QKZ0,mtm:MYCTH_104551
up:G2QKW1,mtm:MYCTH_104570
up:G2QKU7,mtm:MYCTH_104582
up:G2QKP9,mtm:MYCTH_104628
up:G2QMU9,mtm:MYCTH_104665
up:G2QMT9,mtm:MYCTH_104673
up:G2QMT8,mtm:MYCTH_104674
up:G2PZL6,mtm:MYCTH_104717
up:G2PZJ8,mtm:MYCTH_104726
up:G2Q657,mtm:MYCTH_104802
up:G2Q5Q6,mtm:MYCTH_104827
up:G2Q4V2,mtm:MYCTH_104887
up:G2Q4A8,mtm:MYCTH_104936
up:G2Q3X8,mtm:MYCTH_104945
up:G2Q3U1,mtm:MYCTH_104959
up:G2Q2Z4,mtm:MYCTH_105006
up:G2Q240,mtm:MYCTH_105063
up:G2Q214,mtm:MYCTH_105072
up:G2QLY9,mtm:MYCTH_105128
up:G2QLY6,mtm:MYCTH_105130
up:G2QLT9,mtm:MYCTH_105157
up:G2QLL9,mtm:MYCTH_105197
up:G2QL50,mtm:MYCTH_105286
up:G2PZZ0,mtm:MYCTH_105318
up:G2Q164,mtm:MYCTH_105405
up:G2QMK9,mtm:MYCTH_105482
up:G2Q0A9,mtm:MYCTH_105575
up:G2Q0S1,mtm:MYCTH_105600
up:G2Q1B2,mtm:MYCTH_105650
up:G2Q1Q7,mtm:MYCTH_105669
up:G2Q342,mtm:MYCTH_105777
up:G2Q356,mtm:MYCTH_105786
up:G2Q3M4,mtm:MYCTH_105822
up:G2Q424,mtm:MYCTH_105847
up:G2Q4G4,mtm:MYCTH_105869
up:G2Q5W1,mtm:MYCTH_105966
