Gene	Symbol	Cazy	PFAM	Description	NCBI Gene ID	Protein_id	KEGG	Knum	Uniport ID	EC_number	FungiDB	JGI	Chr	Start	End	Strand	Length	GO ID	ONTOLOGY	Type	Pathway Name	Pathway ID
MYCTH_100011			2OG-FeII_Oxy_2	2OG-Fe(II) oxygenase superfamily	11505753.0	XP_003660026	MYCTH_100011		G2Q701		MYCTH_100011	100011	NC_016472.1	6881744.0	6884436.0	-	2693.0					
MYCTH_100068		GH11: Glycoside Hydrolases (GHs) CBM1: Carbohydrate-Binding Modules (CBMs) 	CBM_1,Glyco_hydro_11	Belongs to the glycosyl hydrolase 11 (cellulase G) family	11512455.0	XP_003662402	MYCTH_100068	K01181	G2Q913	3.2.1.8	MYCTH_100068	100068	NC_016473.1	5265193.0	5266157.0	-	965.0	GO:0005576,GO:0005975,GO:0030248,GO:0004553,GO:0004553,GO:0005975,GO:0005975,GO:0005576,GO:0030248	extracellular region,carbohydrate metabolic process,cellulose binding,hydrolase activity, hydrolyzing O-glycosyl compounds,hydrolase activity, hydrolyzing O-glycosyl compounds,carbohydrate metabolic process,carbohydrate metabolic process,extracellular region,cellulose binding	CC,BP,MF,MF,MF,BP,BP,CC,MF		
MYCTH_100089			Dioxygenase_C	protocatechuate 3,4-dioxygenase activity	11512426.0	XP_003662373	MYCTH_100089		G2Q8Y3		MYCTH_100089	100089	NC_016473.1	5175196.0	5176687.0	+	1492.0	GO:0005506,GO:0016702,GO:0055114	iron ion binding,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,oxidation-reduction process	MF,MF,BP		
MYCTH_100127			YCII	YCII-related domain	11512377.0	XP_003662324	MYCTH_100127	K09780	G2Q8N0		MYCTH_100127	100127	NC_016473.1	5035300.0	5035892.0	+	593.0					
MYCTH_100290			CENP-I	Mis6	11512195.0	XP_003662142	MYCTH_100290	K11501	G2Q7I4		MYCTH_100290	100290	NC_016473.1	4391122.0	4393687.0	+	2566.0	GO:0000776,GO:0034508	kinetochore,centromere complex assembly	CC,BP		
MYCTH_100400					11510827.0	XP_003662022	MYCTH_100400		G2QAY5		MYCTH_100400	100400	NC_016473.1	4005724.0	4006943.0	+	1220.0					
MYCTH_100401			Xan_ur_permease	Permease family	11510826.0	XP_003662021	MYCTH_100401	K06901	G2QAY4		MYCTH_100401	100401	NC_016473.1	3999526.0	4002344.0	-	2819.0	GO:0055085,GO:0016020,GO:0022857	transmembrane transport,membrane,transmembrane transporter activity	BP,CC,MF		
MYCTH_100435					11510788.0	XP_003661983	MYCTH_100435		G2QAP2		MYCTH_100435	100435	NC_016473.1	3842415.0	3843069.0	-	655.0					
MYCTH_100489			Lipoxygenase	Lipoxygenase	11510733.0	XP_003661928	MYCTH_100489		G2QAD3		MYCTH_100489	100489	NC_016473.1	3664724.0	3667097.0	-	2374.0	GO:0046872,GO:0055114,GO:0016702	metal ion binding,oxidation-reduction process,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	MF,BP,MF		
MYCTH_100518		AA9: Auxiliary Activities (AAs) 	Glyco_hydro_61	Glycosyl hydrolase family 61	11510692.0	XP_003661887	MYCTH_100518	K22032	G2QA92	1.14.99.56	MYCTH_100518	100518	NC_016473.1	3526384.0	3527289.0	+	906.0					
MYCTH_100519	INP53			Endonuclease/Exonuclease/phosphatase family	11510691.0	XP_003661886	MYCTH_100519	K01099	G2QA91	3.1.3.36	MYCTH_100519	100519	NC_016473.1	3520369.0	3523575.0	-	3207.0	GO:0046856	phosphatidylinositol dephosphorylation	BP	Inositol phosphate metabolism,Metabolic pathways,Phosphatidylinositol signaling system	mtm00562,mtm01100,mtm04070
MYCTH_100541			CFEM	CFEM domain	11510664.0	XP_003661859	MYCTH_100541		G2QA10		MYCTH_100541	100541	NC_016473.1	3358380.0	3358851.0	+	472.0					
MYCTH_100566			APH	Phosphotransferase enzyme family	11510626.0	XP_003661821	MYCTH_100566		G2Q9W7		MYCTH_100566	100566	NC_016473.1	3258512.0	3259633.0	-	1122.0					
MYCTH_100589			NAD_binding_8	FAD binding domain	11510595.0	XP_003661790	MYCTH_100589		G2Q9T6		MYCTH_100589	100589	NC_016473.1	3161442.0	3162989.0	-	1548.0					
MYCTH_100608					11510565.0	XP_003661760	MYCTH_100608		G2Q9Q6		MYCTH_100608	100608	NC_016473.1	2938802.0	2939929.0	+	1128.0					
