XP_001727958.1,Retinal pigment epithelial membrane protein
XP_001727959.2,Domain of unknown function (DUF1989)
XP_001727960.2,Glycerophosphoryl diester phosphodiesterase family(PHO81)
XP_001727961.1,Domain that may be involved in binding ubiquitin-conjugating enzymes (UBCs)(CUE5)
XP_001727966.2,-
XP_001727969.2,Clr5 domain
XP_001727970.2,ankyrin repeats
XP_001727972.2,-
XP_001727974.1,Belongs to the peptidase A1 family(CTSD)
XP_001727976.1,-
XP_001727977.1,-
XP_001727981.1,Rhodanese Homology Domain
XP_001727984.2,Sulfotransferase family
XP_001727985.1,RmlD substrate binding domain
XP_001727986.2,SNF2 family N-terminal domain
XP_001727992.2,Mitochondrial ribosomal protein subunit S4
XP_001727995.2,snRNP Sm proteins(LSM6)
XP_001727997.1,ZIP Zinc transporter
XP_001727998.2,Phosphoinositide phospholipase C
XP_001728000.2,Cytochrome P450
XP_001728006.1,"WGS project CABT00000000 data, contig(agn1)"
XP_001728007.1,MOSC domain
XP_001728014.1,dUTPase(DUT1)
XP_001728015.2,Pyridoxal kinase(BUD16)
XP_001728017.2,Rab5-interacting protein (Rab5ip)
XP_001728020.2,"Domain present in PSD-95, Dlg, and ZO-1/2.(NAS2)"
XP_001728023.1,FAD binding domain
XP_001728028.2,Alg9-like mannosyltransferase family(SMP3)
XP_001728029.2,Transcriptional regulator
XP_001728030.1,-
XP_001728031.1,Alcohol dehydrogenase GroES-associated
XP_001728032.2,glycoside hydrolase family 93 protein
XP_001728034.1,-
XP_001728035.1,Ca2+ regulator and membrane fusion protein Fig1
XP_001728037.1,-
XP_001728038.2,PLAC8 family
XP_001728040.1,Glioma tumor suppressor candidate region gene 1
XP_001728041.2,-
XP_001728043.2,Cofilin/tropomyosin-type actin-binding protein
XP_001728044.1,"IBR domain, a half RING-finger domain"
XP_001728053.1,-
XP_001728056.1,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
XP_001728058.1,nuclear distribution protein
XP_001728059.2,Rpp20 subunit of nuclear RNase MRP and P
XP_001728061.1,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides(CYP10)
XP_001728062.2,Heterokaryon incompatibility protein (HET)
XP_001728067.2,Vitamin B6 photo-protection and homoeostasis
XP_001728068.1,Belongs to the diphosphomevalonate decarboxylase family(MVD1)
XP_001728069.2,FAD binding domain
XP_001728070.2,Common central domain of tyrosinase
XP_001728071.2,-
XP_001728072.1,-
XP_001728077.1,Phospholipase D. Active site motifs.
XP_001728079.1,DnaJ central domain(SCJ1)
XP_001728083.1,Putative transmembrane family 234
XP_001728088.2,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
XP_001728089.2,"CobW/HypB/UreG, nucleotide-binding domain"
XP_001728091.1,-
XP_001728094.2,-
XP_001728095.2,Inositol phospholipid synthesis and fat-storage-inducing TM
XP_001728096.1,ATP adenylyltransferase(APA2)
XP_001728117.1,F-box domain-containing protein
XP_001728118.2,Heterokaryon incompatibility protein (HET)
XP_001728122.2,-
XP_001728128.1,Protein of unknown function (DUF890)
XP_001728129.1,FAD binding domain
XP_001728130.2,"GDP-mannose 4,6 dehydratase(GRE2)"
XP_001728131.1,Aminotransferase class-V
XP_001728132.1,Phenazine biosynthesis-like protein
XP_001728133.1,Prp19/Pso4-like
XP_001728134.1,Belongs to the FMO family
XP_001728135.2,-
XP_001728136.1,Steryl acetyl hydrolase
XP_001728137.2,"FGGY family of carbohydrate kinases, N-terminal domain(xkiA)"
XP_001728144.1,GDSL-like Lipase/Acylhydrolase family
XP_001728147.1,-
XP_001728148.2,Major facilitator superfamily transporter
XP_001728150.1,Mitochondrial ribosomal protein subunit
XP_001728154.1,Belongs to the eIF-2B alpha beta delta subunits family
XP_001728155.2,Sugar (and other) transporter
XP_001728158.1,Cytochrome P450
XP_001728159.2,Snf7(VPS20)
XP_001728160.1,Chromosome segregation protein Spc25(SPC25)
XP_001728161.2,Mitotic-spindle organizing gamma-tubulin ring associated
XP_001728163.1,Podospora anserina S mat genomic DNA chromosome
XP_001728165.2,-
XP_001728166.2,-
XP_001728167.1,Belongs to the GST superfamily
XP_001728169.2,Belongs to the glycosyl hydrolase 17 family(MP65)
XP_001728173.1,-
XP_001728177.1,-
XP_001728178.2,-
XP_001728179.1,Protein tyrosine kinase
XP_001728180.2,-
