gene	ncbi_gene_id	protein_id	uniprot_id	ncbi_description	annotation	pfam
MYCTH_100011	ncbi-geneid:11505753	XP_003660026	up:G2Q701	hypothetical protein	2OG-Fe(II) oxygenase superfamily	2OG-FeII_Oxy_2
MYCTH_100068	ncbi-geneid:11512455	XP_003662402	up:G2Q913	glycoside hydrolase family 11 protein	Belongs to the glycosyl hydrolase 11 (cellulase G) family	CBM_1,Glyco_hydro_11
MYCTH_100089	ncbi-geneid:11512426	XP_003662373	up:G2Q8Y3	Intradiol ring-cleavage dioxygenase-like protein	protocatechuate 3,4-dioxygenase activity	Dioxygenase_C
MYCTH_100127	ncbi-geneid:11512377	XP_003662324	up:G2Q8N0	hypothetical protein	YCII-related domain	YCII
MYCTH_100290	ncbi-geneid:11512195	XP_003662142	up:G2Q7I4	hypothetical protein	Mis6	CENP-I
MYCTH_100400	ncbi-geneid:11510827	XP_003662022	up:G2QAY5	hypothetical protein	-	-
MYCTH_100401	ncbi-geneid:11510826	XP_003662021	up:G2QAY4	hypothetical protein	Permease family	Xan_ur_permease
MYCTH_100435	ncbi-geneid:11510788	XP_003661983	up:G2QAP2	hypothetical protein	-	-
MYCTH_100489	ncbi-geneid:11510733	XP_003661928	up:G2QAD3	hypothetical protein	Lipoxygenase	Lipoxygenase
MYCTH_100518	ncbi-geneid:11510692	XP_003661887	up:G2QA92	glycoside hydrolase family 61 protein	Glycosyl hydrolase family 61	Glyco_hydro_61
MYCTH_100519	ncbi-geneid:11510691	XP_003661886	up:G2QA91	hypothetical protein	Endonuclease/Exonuclease/phosphatase family	-
MYCTH_100541	ncbi-geneid:11510664	XP_003661859	up:G2QA10	extracellular membrane-like protein	CFEM domain	CFEM
MYCTH_100566	ncbi-geneid:11510626	XP_003661821	up:G2Q9W7	hypothetical protein	Phosphotransferase enzyme family	APH
MYCTH_100589	ncbi-geneid:11510595	XP_003661790	up:G2Q9T6	fumarate reductase/succinate dehydrogenase flavo protein-like protein	FAD binding domain	NAD_binding_8
MYCTH_100608	ncbi-geneid:11510565	XP_003661760	up:G2Q9Q6	hypothetical protein	-	-
MYCTH_100654	ncbi-geneid:11510511	XP_003661706	up:G2Q9K2	hypothetical protein	Anticodon binding domain of tRNAs(GCN2)	HGTP_anticodon2,Pkinase,RWD,tRNA-synt_His
MYCTH_100744	ncbi-geneid:11510401	XP_003661596	up:G2Q959	hypothetical protein	COMPASS (Complex proteins associated with Set1p) component shg1	COMPASS-Shg1
MYCTH_100777	ncbi-geneid:11510366	XP_003661561	up:G2Q8X1	hypothetical protein	Uncharacterized protein family UPF0029	RWD,UPF0029
MYCTH_100809	ncbi-geneid:11510325	XP_003661520	up:G2Q8T0	hypothetical protein	EXS family(SYG1)	EXS,SPX
MYCTH_100838	ncbi-geneid:11512161	XP_003661482	up:G2Q8I8	hypothetical protein	Lipase (class 3)	Lipase3_N,Lipase_3
MYCTH_100975	ncbi-geneid:11511998	XP_003661319	up:G2Q7L6	hypothetical protein	Telomere capping, CST complex subunit	Ten1
MYCTH_101019	ncbi-geneid:11511946	XP_003661267	up:G2Q7B1	hypothetical protein	-	-
MYCTH_101105	ncbi-geneid:11511841	XP_003661162	up:G2QAS5	hypothetical protein	Central kinetochore-associated	Kinetocho_Slk19
MYCTH_101107	ncbi-geneid:11511838	XP_003661159	up:G2QAS2	hypothetical protein	Major Facilitator Superfamily	MFS_1
MYCTH_101172	ncbi-geneid:11511765	XP_003661086	up:G2QAE5	hypothetical protein	Fungal specific transcription factor domain	Fungal_trans_2,Zn_clus
MYCTH_101222	ncbi-geneid:11509762	XP_003663650	up:G2QDZ6	hypothetical protein	Domain of unknown function (DUF1996)	DUF1996
MYCTH_101224	ncbi-geneid:11509759	XP_003663647	up:G2QDZ3	hypothetical protein	Belongs to the cytochrome P450 family	FAD_binding_1,Flavodoxin_1,NAD_binding_1,p450
MYCTH_101261	ncbi-geneid:11509713	XP_003663601	up:G2QDP5	polyketide synthase	Phosphopantetheine attachment site	Acyl_transf_1,KAsynt_C_assoc,Ketoacyl-synt_C,PP-binding,PS-DH,SAT,Thioesterase,ketoacyl-synt
MYCTH_101321	ncbi-geneid:11509547	XP_003663513	up:G2QD50	hypothetical protein	-	-
MYCTH_101345	ncbi-geneid:11509424	XP_003663468	up:G2QCV2	hypothetical protein	-	-
MYCTH_101354	ncbi-geneid:11509408	XP_003663452	up:G2QCT6	carbohydrate-binding module family 1 protein	Domain of unknown function (DUF1996)	CBM_1,DUF1996
MYCTH_101394	ncbi-geneid:11509266	XP_003663388	up:G2QCG7	hypothetical protein	basic region leucin zipper	bZIP_1
MYCTH_101399	ncbi-geneid:11509261	XP_003663383	up:G2QCG2	hypothetical protein	-	Acetyltransf_1
MYCTH_101406	ncbi-geneid:11509254	XP_003663376	up:G2QCF5	hypothetical protein	-	-
MYCTH_101411	ncbi-geneid:11509249	XP_003663371	up:G2QCF0	hypothetical protein	Ribosomal protein S10p/S20e(MSW1)	Ribosomal_S10,tRNA-synt_1b
MYCTH_101506	ncbi-geneid:11507890	XP_003663264	up:G2QBT6	hypothetical protein	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain(SET5)	SET
MYCTH_101575	ncbi-geneid:11507818	XP_003663192	up:G2QBK4	hypothetical protein	RNA recognition motif	RRM_1
MYCTH_101588	ncbi-geneid:11507805	XP_003663179	up:G2QBJ1	hypothetical protein	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily(YMR1)	Myotub-related
MYCTH_101623	ncbi-geneid:11507765	XP_003663139	up:G2QBF1	hypothetical protein	Belongs to the heat shock protein 70 family	HSP70
MYCTH_101673	ncbi-geneid:11507704	XP_003663078	up:G2QEQ0	hypothetical protein	-	-
MYCTH_101679	ncbi-geneid:11507700	XP_003663074	up:G2QEP6	hypothetical protein	Src homology 3 domains(BUD14)	RA,SH3_1
MYCTH_101730	ncbi-geneid:11507646	XP_003663020	up:G2QEJ2	hypothetical protein	cornified envelope assembly	-
MYCTH_10175	ncbi-geneid:11511362	XP_003665602	up:G2QIN5	hypothetical protein	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	Fungal_trans,Zn_clus
MYCTH_101762	ncbi-geneid:11507606	XP_003662980	up:G2QEF2	hypothetical protein	to Saccharomyces cerevisiae FAF1 (YIL019W)(FAF1)	DUF4602
MYCTH_101800	ncbi-geneid:11507564	XP_003662938	up:G2QEB0	glycoside hydrolase family 30 protein	Glycosyl hydrolase family 30 beta sandwich domain	Glyco_hydr_30_2,Glyco_hydro_30C
MYCTH_101870	ncbi-geneid:11507486	XP_003662860	up:G2QE32	hypothetical protein	-	-
MYCTH_101972	ncbi-geneid:11507368	XP_003662742	up:G2QDI5	glycoside hydrolase family 95 protein	Glycosyl hydrolase family 65, N-terminal domain	Glyco_hyd_65N_2
MYCTH_102118	ncbi-geneid:11512648	XP_003662572	up:G2QCK4	hypothetical protein	scytalone dehydratase	Scytalone_dh
MYCTH_102133	ncbi-geneid:11512631	XP_003662555	up:G2QCD5	hypothetical protein	Putative amidoligase enzyme	Amidoligase_2
MYCTH_102138	ncbi-geneid:11512625	XP_003662549	up:G2QCC9	hypothetical protein	Protein of unknown function (DUF1524)	DUF1524
MYCTH_102172	ncbi-geneid:11512578	XP_003662502	up:G2QC30	Aldo/keto reductase-like protein	Aldo/keto reductase family	Aldo_ket_red
MYCTH_102226	ncbi-geneid:11506317	XP_003664711	up:G2QGV9	hypothetical protein	Calcineurin-like phosphoesterase superfamily domain	Metallophos,Metallophos_2
