ncbi-geneid:11505753	mtm:MYCTH_100011	hypothetical protein
ncbi-geneid:11512455	mtm:MYCTH_100068	glycoside hydrolase family 11 protein
ncbi-geneid:11512426	mtm:MYCTH_100089	Intradiol ring-cleavage dioxygenase-like protein
ncbi-geneid:11512377	mtm:MYCTH_100127	hypothetical protein
ncbi-geneid:11512195	mtm:MYCTH_100290	hypothetical protein
ncbi-geneid:11510827	mtm:MYCTH_100400	hypothetical protein
ncbi-geneid:11510826	mtm:MYCTH_100401	hypothetical protein
ncbi-geneid:11510788	mtm:MYCTH_100435	hypothetical protein
ncbi-geneid:11510733	mtm:MYCTH_100489	hypothetical protein
ncbi-geneid:11510692	mtm:MYCTH_100518	glycoside hydrolase family 61 protein
ncbi-geneid:11510691	mtm:MYCTH_100519	hypothetical protein
ncbi-geneid:11510664	mtm:MYCTH_100541	extracellular membrane-like protein
ncbi-geneid:11510626	mtm:MYCTH_100566	hypothetical protein
ncbi-geneid:11510595	mtm:MYCTH_100589	fumarate reductase/succinate dehydrogenase flavo protein-like protein
ncbi-geneid:11510565	mtm:MYCTH_100608	hypothetical protein
ncbi-geneid:11510511	mtm:MYCTH_100654	hypothetical protein
ncbi-geneid:11510401	mtm:MYCTH_100744	hypothetical protein
ncbi-geneid:11510366	mtm:MYCTH_100777	hypothetical protein
ncbi-geneid:11510325	mtm:MYCTH_100809	hypothetical protein
ncbi-geneid:11512161	mtm:MYCTH_100838	hypothetical protein
ncbi-geneid:11511998	mtm:MYCTH_100975	hypothetical protein
ncbi-geneid:11511946	mtm:MYCTH_101019	hypothetical protein
ncbi-geneid:11511841	mtm:MYCTH_101105	hypothetical protein
ncbi-geneid:11511838	mtm:MYCTH_101107	hypothetical protein
ncbi-geneid:11511765	mtm:MYCTH_101172	hypothetical protein
ncbi-geneid:11509762	mtm:MYCTH_101222	hypothetical protein
ncbi-geneid:11509759	mtm:MYCTH_101224	hypothetical protein
ncbi-geneid:11509713	mtm:MYCTH_101261	polyketide synthase
ncbi-geneid:11509547	mtm:MYCTH_101321	hypothetical protein
ncbi-geneid:11509424	mtm:MYCTH_101345	hypothetical protein
ncbi-geneid:11509408	mtm:MYCTH_101354	carbohydrate-binding module family 1 protein
ncbi-geneid:11509266	mtm:MYCTH_101394	hypothetical protein
ncbi-geneid:11509261	mtm:MYCTH_101399	hypothetical protein
ncbi-geneid:11509254	mtm:MYCTH_101406	hypothetical protein
ncbi-geneid:11509249	mtm:MYCTH_101411	hypothetical protein
ncbi-geneid:11507890	mtm:MYCTH_101506	hypothetical protein
ncbi-geneid:11507818	mtm:MYCTH_101575	hypothetical protein
ncbi-geneid:11507805	mtm:MYCTH_101588	hypothetical protein
ncbi-geneid:11507765	mtm:MYCTH_101623	hypothetical protein
ncbi-geneid:11507704	mtm:MYCTH_101673	hypothetical protein
ncbi-geneid:11507700	mtm:MYCTH_101679	hypothetical protein
ncbi-geneid:11507646	mtm:MYCTH_101730	hypothetical protein
ncbi-geneid:11511362	mtm:MYCTH_10175	hypothetical protein
ncbi-geneid:11507606	mtm:MYCTH_101762	hypothetical protein
ncbi-geneid:11507564	mtm:MYCTH_101800	glycoside hydrolase family 30 protein
ncbi-geneid:11507486	mtm:MYCTH_101870	hypothetical protein
ncbi-geneid:11507368	mtm:MYCTH_101972	glycoside hydrolase family 95 protein
ncbi-geneid:11512648	mtm:MYCTH_102118	hypothetical protein
ncbi-geneid:11512631	mtm:MYCTH_102133	hypothetical protein
ncbi-geneid:11512625	mtm:MYCTH_102138	hypothetical protein
ncbi-geneid:11512578	mtm:MYCTH_102172	Aldo/keto reductase-like protein
ncbi-geneid:11506317	mtm:MYCTH_102226	hypothetical protein
ncbi-geneid:11506149	mtm:MYCTH_102290	dehydrogenase-like protein
ncbi-geneid:11506142	mtm:MYCTH_102295	hypothetical protein
ncbi-geneid:11506140	mtm:MYCTH_102297	hypothetical protein
ncbi-geneid:11506107	mtm:MYCTH_102322	polysaccharide lyase family 3 protein
ncbi-geneid:11514359	mtm:MYCTH_102448	hypothetical protein
ncbi-geneid:11514203	mtm:MYCTH_102510	hypothetical protein
ncbi-geneid:11514109	mtm:MYCTH_102522	glycoside hydrolase family 55 protein
ncbi-geneid:11514098	mtm:MYCTH_102533	hypothetical protein
ncbi-geneid:11513805	mtm:MYCTH_102652	hypothetical protein
ncbi-geneid:11513490	mtm:MYCTH_102790	hypothetical protein
ncbi-geneid:11513487	mtm:MYCTH_102792	hypothetical protein
ncbi-geneid:11513480	mtm:MYCTH_102797	ATPase, P type cation/copper-transporter
ncbi-geneid:11510283	mtm:MYCTH_102849	carbohydrate-binding module family 18 protein
ncbi-geneid:11510249	mtm:MYCTH_102871	hypothetical protein
ncbi-geneid:11510236	mtm:MYCTH_102878	hypothetical protein
ncbi-geneid:11510145	mtm:MYCTH_102943	hypothetical protein
ncbi-geneid:11510054	mtm:MYCTH_102965	cytochrome P450-like protein
ncbi-geneid:11510048	mtm:MYCTH_102971	FAD linked oxidase-like protein
ncbi-geneid:11510040	mtm:MYCTH_102977	hypothetical protein
ncbi-geneid:11506414	mtm:MYCTH_102985	non-ribosomal peptide synthetase
ncbi-geneid:11510005	mtm:MYCTH_102997	hypothetical protein
ncbi-geneid:11509876	mtm:MYCTH_103022	hypothetical protein
ncbi-geneid:11509873	mtm:MYCTH_103025	hypothetical protein
ncbi-geneid:11509907	mtm:MYCTH_103032	glycoside hydrolase family 43 protein
ncbi-geneid:11511443	mtm:MYCTH_103061	polyketide synthase
ncbi-geneid:11511429	mtm:MYCTH_103070	chitin-binding domain protein
ncbi-geneid:11511417	mtm:MYCTH_103080	Dihydrodipicolinate synthetase-like protein
ncbi-geneid:11511403	mtm:MYCTH_103090	hypothetical protein
ncbi-geneid:11511487	mtm:MYCTH_103096	polyketide synthase
ncbi-geneid:11511359	mtm:MYCTH_103122	hypothetical protein
ncbi-geneid:11511355	mtm:MYCTH_103124	hypothetical protein
ncbi-geneid:11511338	mtm:MYCTH_103134	hypothetical protein
ncbi-geneid:11511282	mtm:MYCTH_103164	hypothetical protein
ncbi-geneid:11511118	mtm:MYCTH_103320	hypothetical protein
ncbi-geneid:11511106	mtm:MYCTH_103330	hypothetical protein
ncbi-geneid:11511101	mtm:MYCTH_103334	glycoside hydrolase family 76 protein
ncbi-geneid:11511024	mtm:MYCTH_103379	hypothetical protein
ncbi-geneid:11507187	mtm:MYCTH_103537	glycoside hydrolase family 61 protein
ncbi-geneid:11507074	mtm:MYCTH_103571	hypothetical protein
ncbi-geneid:11507047	mtm:MYCTH_103590	hypothetical protein
ncbi-geneid:11506933	mtm:MYCTH_103611	hypothetical protein
ncbi-geneid:11506921	mtm:MYCTH_103620	hypothetical protein
ncbi-geneid:11506913	mtm:MYCTH_103628	hypothetical protein
ncbi-geneid:11506775	mtm:MYCTH_103671	hypothetical protein
ncbi-geneid:11506727	mtm:MYCTH_103702	aldose epimerase-like protein
ncbi-geneid:11511468	mtm:MYCTH_103794	hypothetical protein
ncbi-geneid:11510115	mtm:MYCTH_103797	hypothetical protein
ncbi-geneid:11510092	mtm:MYCTH_103818	hypothetical protein
ncbi-geneid:11509940	mtm:MYCTH_103867	hypothetical protein
ncbi-geneid:11509613	mtm:MYCTH_104005	hypothetical protein
ncbi-geneid:11509471	mtm:MYCTH_104059	hypothetical protein
