id,GO,ONTOLOGY,GO_type
XP_003658317.1,GO:0005515,protein binding,MF
XP_003658319.1,"GO:0003993,GO:0046872,GO:0003993,GO:0016787","acid phosphatase activity,metal ion binding,acid phosphatase activity,hydrolase activity","MF,MF,MF,MF"
XP_003658322.1,GO:0003676,nucleic acid binding,MF
XP_003658323.1,"GO:0051287,GO:0055114,GO:0016616,GO:0051287,GO:0055114","NAD binding,oxidation-reduction process,oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,NAD binding,oxidation-reduction process","MF,BP,MF,MF,BP"
XP_003658325.1,GO:0016491,oxidoreductase activity,MF
XP_003658326.1,"GO:0005525,GO:0003924,GO:0005525","GTP binding,GTPase activity,GTP binding","MF,MF,MF"
XP_003658327.1,"GO:0004553,GO:0005975","hydrolase activity, hydrolyzing O-glycosyl compounds,carbohydrate metabolic process","MF,BP"
XP_003658328.1,"GO:0055114,GO:0016491,GO:0016491,GO:0008270,GO:0055114","oxidation-reduction process,oxidoreductase activity,oxidoreductase activity,zinc ion binding,oxidation-reduction process","BP,MF,MF,MF,BP"
XP_003658329.1,"GO:0005524,GO:0009396,GO:0004326,GO:0009396,GO:0005524,GO:0004326,GO:0009058,GO:0005524,GO:0005524,GO:0009058,GO:0016874","ATP binding,folic acid-containing compound biosynthetic process,tetrahydrofolylpolyglutamate synthase activity,folic acid-containing compound biosynthetic process,ATP binding,tetrahydrofolylpolyglutamate synthase activity,biosynthetic process,ATP binding,ATP binding,biosynthetic process,ligase activity","MF,BP,MF,BP,MF,MF,BP,MF,MF,BP,MF"
XP_003658330.1,"GO:0009396,GO:0005524,GO:0004326,GO:0009058,GO:0005524,GO:0005524,GO:0009058,GO:0016874,GO:0005524,GO:0009396,GO:0004326","folic acid-containing compound biosynthetic process,ATP binding,tetrahydrofolylpolyglutamate synthase activity,biosynthetic process,ATP binding,ATP binding,biosynthetic process,ligase activity,ATP binding,folic acid-containing compound biosynthetic process,tetrahydrofolylpolyglutamate synthase activity","BP,MF,MF,BP,MF,MF,BP,MF,MF,BP,MF"
XP_003658332.1,"GO:0003924,GO:0005525,GO:0005525","GTPase activity,GTP binding,GTP binding","MF,MF,MF"
XP_003658333.1,GO:0042578,phosphoric ester hydrolase activity,MF
