Geneid,Chr,Start,End,Strand,Length
MYCTH_2114025,chromosome: 1,1381,2142,+,762
MYCTH_2293935,chromosome: 1,2744,3343,-,600
MYCTH_2293936,chromosome: 1,3344,3817,-,474
MYCTH_2051335,chromosome: 1,5330,6385,-,1056
MYCTH_2121898,chromosome: 1,15458,25533,+,10076
MYCTH_2293939,chromosome: 1,41983,44418,+,2436
MYCTH_2293942,chromosome: 1,45523,47562,+,2040
MYCTH_61543,chromosome: 1,48040,49183,+,1144
MYCTH_2293944,chromosome: 1,49990,51979,+,1990
MYCTH_98562,chromosome: 1,52694,53820,+,1127
MYCTH_2105956,chromosome: 1,54699,55825,+,1127
MYCTH_2293947,chromosome: 1,55858,57004,-,1147
MYCTH_2293949,chromosome: 1,57236,58755,+,1520
MYCTH_90655,chromosome: 1,60083,62739,+,2657
MYCTH_2293953,chromosome: 1,62980,64579,-,1600
MYCTH_t53,chromosome: 1,66366,66475,-,110
MYCTH_2293954,chromosome: 1,66644,68746,+,2103
MYCTH_2049934,chromosome: 1,68869,70596,-,1728
MYCTH_2293957,chromosome: 1,70923,73543,-,2621
MYCTH_2293959,chromosome: 1,74188,75379,-,1192
MYCTH_2293961,chromosome: 1,75651,78578,+,2928
MYCTH_2293962,chromosome: 1,78900,82989,-,4090
MYCTH_2293963,chromosome: 1,83562,85486,-,1925
MYCTH_2293965,chromosome: 1,85819,89977,+,4159
MYCTH_t52,chromosome: 1,90316,90430,-,115
MYCTH_2293966,chromosome: 1,91091,92113,+,1023
MYCTH_2293968,chromosome: 1,92327,94810,-,2484
MYCTH_2293969,chromosome: 1,94982,97258,-,2277
MYCTH_2293970,chromosome: 1,97422,99286,+,1865
MYCTH_2293973,chromosome: 1,99301,100752,+,1452
MYCTH_2293977,chromosome: 1,109683,111931,+,2249
MYCTH_2293982,chromosome: 1,112143,115528,+,3386
MYCTH_31411,chromosome: 1,115898,118225,+,2328
MYCTH_2293986,chromosome: 1,118578,120483,-,1906
MYCTH_75421,chromosome: 1,120967,123723,-,2757
MYCTH_2293995,chromosome: 1,125930,132084,-,6155
MYCTH_2293998,chromosome: 1,134410,137687,+,3278
MYCTH_2293999,chromosome: 1,138231,140139,-,1909
MYCTH_2294001,chromosome: 1,140582,143112,-,2531
MYCTH_2294003,chromosome: 1,143953,145056,+,1104
MYCTH_2294005,chromosome: 1,145878,146279,-,402
MYCTH_2294006,chromosome: 1,146286,148489,+,2204
MYCTH_2294008,chromosome: 1,148578,149803,+,1226
MYCTH_2121938,chromosome: 1,150455,151505,-,1051
MYCTH_2294022,chromosome: 1,152283,154424,-,2142
MYCTH_2141262,chromosome: 1,155783,158234,-,2452
MYCTH_2053489,chromosome: 1,158890,161189,-,2300
MYCTH_2294026,chromosome: 1,162922,164845,-,1924
MYCTH_2294033,chromosome: 1,175137,177353,+,2217
MYCTH_2121946,chromosome: 1,181649,182377,+,729
MYCTH_2294035,chromosome: 1,187532,189841,-,2310
MYCTH_2294036,chromosome: 1,190257,191987,-,1731
MYCTH_2294037,chromosome: 1,192231,194298,+,2068
MYCTH_2294039,chromosome: 1,197934,201666,+,3733
MYCTH_2072958,chromosome: 1,207354,209877,-,2524
MYCTH_2313252,chromosome: 1,212645,215157,+,2513
MYCTH_2294048,chromosome: 1,216132,218073,-,1942
MYCTH_2294051,chromosome: 1,218709,222098,+,3390
MYCTH_2121955,chromosome: 1,222288,222738,-,451
MYCTH_2294054,chromosome: 1,223170,225704,+,2535
MYCTH_2054076,chromosome: 1,226659,228911,-,2253
