Geneid,Chr,Start,End,Strand,Length
NCU10129,NC_026501.1,1151,2878,-,1728
NCU09901,NC_026501.1,3178,6443,+,3266
NCU09903,NC_026501.1,9177,13334,+,4158
NCU11134,NC_026501.1,15930,16647,+,718
NCU09904,NC_026501.1,17441,19615,+,2175
NCU14001,NC_026501.1,34691,35418,+,728
NCU09906,NC_026501.1,34981,39245,+,4265
NCU09907,NC_026501.1,40950,42632,-,1683
NCU09908,NC_026501.1,43709,44551,-,843
NCU09909,NC_026501.1,45332,48154,-,2823
NCU09910,NC_026501.1,49237,52949,-,3713
NCU09911,NC_026501.1,53114,54518,+,1405
NCU09912,NC_026501.1,54882,57945,+,3064
NCU09913,NC_026501.1,59146,61150,+,2005
NCU09914,NC_026501.1,62094,62950,+,857
NCU10501,NC_026501.1,91324,92593,+,1270
NCU08049,NC_026501.1,93474,98954,-,5481
NCU08050,NC_026501.1,99983,102134,+,2152
NCU08051,NC_026501.1,102314,105940,-,3627
NCU16303,NC_026501.1,102849,103781,+,933
NCU08052,NC_026501.1,109911,112060,+,2150
NCU08053,NC_026501.1,112097,113288,-,1192
NCU08054,NC_026501.1,113613,117165,+,3553
NCU08055,NC_026501.1,117750,119387,+,1638
NCU08056,NC_026501.1,122928,128314,+,5387
NCU08057,NC_026501.1,128668,129912,+,1245
NCU08058,NC_026501.1,130428,132364,-,1937
NCU08059,NC_026501.1,133836,134464,+,629
NCU08060,NC_026501.1,134927,137208,-,2282
NCU08062,NC_026501.1,137593,139980,+,2388
NCU08063,NC_026501.1,139966,143960,-,3995
NCU08064,NC_026501.1,144649,149497,-,4849
NCU08065,NC_026501.1,149511,152241,-,2731
NCU08066,NC_026501.1,152421,155040,-,2620
NCU10696,NC_026501.1,155599,157284,+,1686
NCU08067,NC_026501.1,158037,161116,+,3080
NCU08068,NC_026501.1,162307,163765,+,1459
NCU08069,NC_026501.1,163963,166034,+,2072
NCU08070,NC_026501.1,169835,173197,-,3363
NCU08071,NC_026501.1,173482,174938,+,1457
NCU15001,NC_026501.1,175041,175128,-,88
NCU08072,NC_026501.1,175275,178146,-,2872
NCU08073,NC_026501.1,178614,180242,-,1629
NCU08074,NC_026501.1,181223,181975,+,753
NCU08075,NC_026501.1,182428,185051,-,2624
NCU08076,NC_026501.1,186040,188208,+,2169
NCU08077,NC_026501.1,188531,189595,-,1065
NCU08078,NC_026501.1,190407,191138,+,732
NCU08079,NC_026501.1,193144,194064,-,921
NCU08080,NC_026501.1,195021,195335,-,315
NCU16305,NC_026501.1,195781,196290,-,510
NCU08081,NC_026501.1,198195,198497,+,303
NCU08083,NC_026501.1,208395,209343,-,949
NCU08084,NC_026501.1,210487,212487,+,2001
NCU08085,NC_026501.1,214620,215734,+,1115
NCU08086,NC_026501.1,216105,216521,-,417
NCU08087,NC_026501.1,219396,220979,-,1584
NCU08089,NC_026501.1,224662,224874,+,213
NCU16306,NC_026501.1,226935,227879,-,945
NCU08090,NC_026501.1,227818,228981,-,1164
NCU10622,NC_026501.1,231496,232838,-,1343
NCU08091,NC_026501.1,233028,234749,+,1722
NCU08092,NC_026501.1,234736,237045,-,2310
NCU08093,NC_026501.1,237549,238578,+,1030
NCU08094,NC_026501.1,239112,240765,+,1654
NCU08095,NC_026501.1,240744,241840,-,1097
