query_id,subject_id,identity,alignment length,mismatches,gap,q.start,q.end,s.start,s.end,e-value,bit score
XP_001728006.1,EAA29200.1 GH71: Glycoside Hydrolases (GHs) CBM24: Carbohydrate-Binding Modules (CBMs) ,100.0,1046,0,0,1,1046,1,1046,0.0,2109.7
XP_001728007.1,EAA29200.1 GH71: Glycoside Hydrolases (GHs) CBM24: Carbohydrate-Binding Modules (CBMs) ,98.4,318,5,0,1,318,1092,1409,2.5e-168,595.1
XP_001728028.2,AEO57845.1 GT22: GlycosylTransferases (GTs) ,83.1,516,87,0,1,516,1,516,2.1e-262,907.9
XP_001728031.1,EAA29319.1 GH93: Glycoside Hydrolases (GHs) ,100.0,453,0,0,1,453,1,453,2.3e-265,917.5
XP_001728032.2,EAA29319.1 GH93: Glycoside Hydrolases (GHs) ,97.4,423,11,0,1,423,709,1131,1.2e-229,798.9
XP_001728061.1,SMR52966.1 CE16: Carbohydrate Esterases (CEs) ,43.7,142,70,3,10,147,21,156,4.2e-23,111.3
XP_001728088.2,EAA57970.1 GT1: GlycosylTransferases (GTs) ,48.5,309,150,3,7,306,522,830,1.1e-74,283.5
XP_001728169.2,QKD49574.1 GH17: Glycoside Hydrolases (GHs) ,41.9,310,127,10,180,488,99,356,7.199999999999999e-55,218.4
XP_001728217.2,VBB86453.1 CE4: Carbohydrate Esterases (CEs) CBM18: Carbohydrate-Binding Modules (CBMs) ,67.7,375,118,2,1,372,1,375,1.8e-144,515.8
XP_001728408.1,XP_331907.1 GT66: GlycosylTransferases (GTs) ,98.8,749,1,1,1,749,254,994,0.0,1464.5
XP_001728409.1,XP_331907.1 GT66: GlycosylTransferases (GTs) ,100.0,123,0,0,1,123,1,123,5.2e-58,226.9
XP_001728451.2,QGI92142.1 AA8: Auxiliary Activities (AAs) ,71.1,38,10,1,13,50,839,875,3e-06,57.8
XP_001728517.2,QGA15049.1 GH55: Glycoside Hydrolases (GHs) ,41.9,535,233,14,61,593,11,469,1.3e-93,347.4
XP_001728523.2,QKD52171.1 GT31: GlycosylTransferases (GTs) ,49.6,343,142,6,60,401,546,858,8.200000000000001e-81,304.3
XP_001728541.1,QIX00712.1 GH71: Glycoside Hydrolases (GHs) ,53.2,453,187,6,15,447,5,452,6.8e-127,457.6
XP_011392784.1,QKD55908.1 GH18: Glycoside Hydrolases (GHs) ,68.8,1240,339,18,3,1207,962,2188,0.0,1584.3
XP_011392785.1,QKD55908.1 GH18: Glycoside Hydrolases (GHs) ,68.4,1266,352,18,7,1237,936,2188,0.0,1600.1
XP_011392810.1,XP_324859.1 GT1: GlycosylTransferases (GTs) ,86.8,710,0,2,1,636,1,690,0.0,1162.5
XP_011392822.1,SMR52966.1 CE16: Carbohydrate Esterases (CEs) ,46.9,130,65,3,72,197,20,149,5.5e-26,121.3
XP_011392829.1,CAC9928513.1 GH0: Glycoside Hydrolases (GHs) ,52.7,182,80,3,1,177,93,273,1.9e-48,197.6
