id,GO,ONTOLOGY,GO_type
XP_001727958.1,"GO:0055114,GO:0016702","oxidation-reduction process,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","BP,MF"
XP_001727960.2,"GO:0005515,GO:0004190,GO:0006508","protein binding,aspartic-type endopeptidase activity,proteolysis","MF,MF,BP"
XP_001727961.1,GO:0005515,protein binding,MF
XP_001727970.2,GO:0005515,protein binding,MF
XP_001727974.1,"GO:0004190,GO:0006508","aspartic-type endopeptidase activity,proteolysis","MF,BP"
XP_001727985.1,GO:0003824,catalytic activity,MF
XP_001727986.2,GO:0005524,ATP binding,MF
XP_001727992.2,GO:0005515,protein binding,MF
XP_001727995.2,"GO:0005732,GO:0000398","small nucleolar ribonucleoprotein complex,mRNA splicing, via spliceosome","CC,BP"
XP_001727997.1,"GO:0016020,GO:0055085,GO:0046873,GO:0030001","membrane,transmembrane transport,metal ion transmembrane transporter activity,metal ion transport","CC,BP,MF,BP"
XP_001727998.2,"GO:0006629,GO:0004435,GO:0035556,GO:0007165,GO:0035556,GO:0006629,GO:0008081","lipid metabolic process,phosphatidylinositol phospholipase C activity,intracellular signal transduction,signal transduction,intracellular signal transduction,lipid metabolic process,phosphoric diester hydrolase activity","BP,MF,BP,BP,BP,BP,MF"
XP_001728000.2,"GO:0020037,GO:0055114,GO:0005506,GO:0016705","heme binding,oxidation-reduction process,iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF,BP,MF,MF"
XP_001728006.1,GO:0016787,hydrolase activity,MF
XP_001728007.1,"GO:0030170,GO:0030151,GO:0003824","pyridoxal phosphate binding,molybdenum ion binding,catalytic activity","MF,MF,MF"
XP_001728014.1,"GO:0006226,GO:0004170,GO:0046081,GO:0000287","dUMP biosynthetic process,dUTP diphosphatase activity,dUTP catabolic process,magnesium ion binding","BP,MF,BP,MF"
XP_001728015.2,"GO:0008478,GO:0009443","pyridoxal kinase activity,pyridoxal 5'-phosphate salvage","MF,BP"
XP_001728017.2,"GO:0016021,GO:0005783,GO:0072546","integral component of membrane,endoplasmic reticulum,ER membrane protein complex","CC,CC,CC"
XP_001728020.2,"GO:0005515,GO:0070682","protein binding,proteasome regulatory particle assembly","MF,BP"
XP_001728023.1,"GO:0050660,GO:0071949,GO:0016491,GO:0055114,GO:0050660","flavin adenine dinucleotide binding,FAD binding,oxidoreductase activity,oxidation-reduction process,flavin adenine dinucleotide binding","MF,MF,MF,BP,MF"
XP_001728028.2,GO:0016757,"transferase activity, transferring glycosyl groups",MF
XP_001728031.1,"GO:0055114,GO:0016491,GO:0008270,GO:0055114","oxidation-reduction process,oxidoreductase activity,zinc ion binding,oxidation-reduction process","BP,MF,MF,BP"
XP_001728035.1,"GO:0032220,GO:0016020","plasma membrane fusion involved in cytogamy,membrane","BP,CC"
XP_001728043.2,"GO:0003779,GO:0071933,GO:0034316","actin binding,Arp2/3 complex binding,negative regulation of Arp2/3 complex-mediated actin nucleation","MF,MF,BP"
XP_001728056.1,"GO:0042025,GO:0008270,GO:0000981,GO:0006355","host cell nucleus,zinc ion binding,DNA-binding transcription factor activity, RNA polymerase II-specific,regulation of transcription, DNA-templated","CC,MF,MF,BP"
