XP_003658314,-
XP_003658317,phosphoglycerate dehydrogenase activity
XP_003658319,"Purple acid Phosphatase, N-terminal domain"
XP_003658320,Integral membrane protein TmpA
XP_003658321,-
XP_003658322,EXOIII
XP_003658323,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
XP_003658324,-
XP_003658325,Enoyl-(Acyl carrier protein) reductase
XP_003658326,Rab subfamily of small GTPases
XP_003658327,"Glycosyl hydrolases family 2, sugar binding domain"
XP_003658328,Zinc-binding dehydrogenase(XYL2)
XP_003658329,"Catalyzes conversion of folates to polyglutamate derivatives allowing concentration of folate compounds in the cell and the intracellular retention of these cofactors, which are important substrates for most of the folate-dependent enzymes that are involved in one-carbon transfer reactions involved in purine, pyrimidine and amino acid synthesis(MET7)"
XP_003658330,"Catalyzes conversion of folates to polyglutamate derivatives allowing concentration of folate compounds in the cell and the intracellular retention of these cofactors, which are important substrates for most of the folate-dependent enzymes that are involved in one-carbon transfer reactions involved in purine, pyrimidine and amino acid synthesis"
XP_003658331,"Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane"
XP_003658332,Rab subfamily of small GTPases(YPT52)
XP_003658333,SacI homology domain(SAC1)
XP_003658334,-
XP_003658335,Uncharacterised protein family (UPF0183)
XP_003658336,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family(KIP1)
XP_003658337,Haloacid dehalogenase-like hydrolase
XP_003658338,RNA polymerase I specific transcription initiation factor
XP_003658339,"Component of the NOP7 complex, which is required for maturation of the 25S and 5.8S ribosomal RNAs and formation of the 60S ribosome(NOP7)"
XP_003658340,GPI transamidase subunit PIG-U
XP_003658341,-
XP_003658342,Tom37 C-terminal domain
XP_003658343,Belongs to the class-I aminoacyl-tRNA synthetase family(ISM1)
XP_003658344,helicase superfamily c-terminal domain(ROK1)
XP_003658345,spry domain-containing protein
XP_003658346,Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A9) family
XP_003658347,-
XP_003658348,Proprotein convertase P-domain(KEX2)
XP_003658349,Vps5 C terminal like(SNX4)
XP_003658350,LETM1-like protein(YLH47)
XP_003658351,Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates. Has GTP AMP phosphotransferase and ITP AMP phosphotransferase activities(ADK2)
XP_003658353,Glycosyl hydrolase family 76
XP_003658354,Pfam:RRM_6
XP_003658355,Beta-flanking protein
XP_003658356,PAS fold
XP_003658357,"FAD linked oxidases, C-terminal domain(DLD1)"
XP_003658358,Clr5 domain
XP_003658359,-
XP_003658360,Glycosyltransferase family 2 protein
XP_003658362,-
XP_003658363,-
XP_003658364,"acetyltransferase, which acetylates the inositol ring of phosphatidylinositol during biosynthesis of GPI- anchor(GWT1)"
XP_003658365,"Serine/Threonine protein kinases, catalytic domain"
XP_003658366,PPP4R2
XP_003658367,-
XP_003658368,C-terminal to LisH motif.
XP_003658369,sin3 complex subunit
XP_003658370,Tim10/DDP family zinc finger(TIM10)
XP_003658371,"tRNA synthetases class II (D, K and N)(MSK1)"
XP_003658372,-
XP_003658373,Pleckstrin homology domain
XP_003658374,Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)
XP_003658376,-
XP_003658377,Glycoside hydrolase family 79 protein
XP_003658378,Belongs to the aldehyde dehydrogenase family(UGA2)
XP_003658379,Protein tyrosine kinase
XP_003658380,-
XP_003658381,WD repeat-containing protein
XP_003658382,-
XP_003658383,-
XP_003658386,retrotransposable element tf2 155 kda protein type 1-like
XP_003658387,to reverse transcriptase
XP_003658388,-
XP_003658389,Repair protein Rad1/Rec1/Rad17(rad1)
XP_003658390,Oligosaccharyltransferase subunit 5
XP_003658391,"COG5076, COG5076, Transcription factor involved in chromatin remodeling, contains bromodomain(GCN5)"
XP_003658392,Alpha-trehalose glucohydrolase
XP_003658393,Beta-eliminating lyase
XP_003658394,Fungal specific transcription factor domain
XP_003658396,Centrosome microtubule-binding domain of Cep57
XP_003658397,Oligosaccharyltransferase subunit Ribophorin II
XP_003658398,-
XP_003658399,Amidase
XP_003658400,Belongs to the CDP-alcohol phosphatidyltransferase class-I family
XP_003658401,"PhoX homologous domain, present in p47phox and p40phox."
XP_003658402,Belongs to the peptidase M28 family
XP_003658404,Enoyl-(Acyl carrier protein) reductase
XP_003658405,Iq calmodulin-binding
XP_003658406,R3H domain(FAP1)
XP_003658407,-
XP_003658408,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides(RRD2)
XP_003658409,"3' exoribonuclease family, domain 1(RRP46)"
XP_003658410,ATP-NAD kinase(UTR1)
XP_003658411,Homeodomain
XP_003658412,GRF zinc finger
XP_003658413,ELMO/CED-12 family
XP_003658414,Protein kinase C conserved region 2 (CalB)(TCB2)
XP_003658415,-
XP_003658416,Belongs to the OSBP family(OSH6)
XP_003658417,Ammonium transporter(MEP1)
XP_003658418,CRT10
XP_003658420,Belongs to the glycosyl hydrolase 5 (cellulase A) family
XP_003658421,7 transmembrane receptor (Secretin family)
XP_003658423,"Taurine catabolism dioxygenase TauD, TfdA family"
XP_003658424,-
XP_003658425,-
XP_003658426,Endonuclease/Exonuclease/phosphatase family(ISC1)
