GeneID,Gene_symbol
Mycth_100011,
Mycth_100068,
Mycth_100089,
Mycth_100127,
Mycth_100290,
Mycth_100400,
Mycth_100401,
Mycth_100435,
Mycth_100489,
Mycth_100518,
Mycth_100519,INP53
Mycth_100541,
Mycth_100566,
Mycth_100589,
Mycth_100608,
Mycth_100654,GCN2
Mycth_100744,
Mycth_100777,YIH1
Mycth_100809,SYG1
Mycth_100838,YJR107W
Mycth_100975,
Mycth_101019,
Mycth_101105,
Mycth_101107,DTR1
Mycth_101172,
Mycth_101222,
Mycth_101224,NCP1
Mycth_101261,CEM1
Mycth_101321,
Mycth_101345,
Mycth_101354,
Mycth_101394,
Mycth_101399,
Mycth_101406,
Mycth_101411,MSW1
Mycth_101506,
Mycth_101575,
Mycth_101588,YMR1
Mycth_101623,SSA4
Mycth_101673,
Mycth_101679,
Mycth_101730,
Mycth_10175,ASG1
Mycth_101762,FAF1
Mycth_101800,
Mycth_101870,YDR514C
Mycth_101972,
Mycth_102118,
Mycth_102133,
Mycth_102138,
Mycth_102172,YPR127W
Mycth_102226,
Mycth_102290,SPS19
Mycth_102295,NIT2
Mycth_102297,
Mycth_102322,
Mycth_102448,
Mycth_102510,
Mycth_102522,
Mycth_102533,
Mycth_102652,
Mycth_102790,
Mycth_102792,
Mycth_102797,CCC2
Mycth_102849,
Mycth_102871,
Mycth_102878,
Mycth_102943,
Mycth_102965,ERG5
Mycth_102971,
Mycth_102977,
Mycth_102985,LYS2
Mycth_102997,FEN2
Mycth_103022,
Mycth_103025,
Mycth_103032,
Mycth_103061,CEM1
Mycth_103070,
Mycth_103080,
Mycth_103090,
Mycth_103096,CEM1
Mycth_103122,
Mycth_103124,
Mycth_103134,
Mycth_103164,
Mycth_103320,
Mycth_103330,
Mycth_103334,DCW1
Mycth_103379,YML131W
Mycth_103537,
Mycth_103571,
Mycth_103590,
Mycth_103611,
Mycth_103620,
Mycth_103628,YGK3
Mycth_103671,
Mycth_103702,YNR071C
Mycth_103794,VBA2
Mycth_103797,MAL31
Mycth_103818,
Mycth_103867,
Mycth_104005,
Mycth_104059,RAD3
Mycth_104076,GUT2
Mycth_104102,
Mycth_104106,
Mycth_104267,
Mycth_104380,
Mycth_104386,
Mycth_104551,PHO3
Mycth_104570,DFG5
Mycth_104582,
Mycth_104628,
Mycth_104665,
Mycth_104673,STL1
Mycth_104674,ROT2
Mycth_104717,STE6
Mycth_104726,
Mycth_104802,
Mycth_104827,
Mycth_104887,
Mycth_104936,HNT2
Mycth_104945,RAD6
Mycth_104959,
Mycth_105006,BRO1
Mycth_105063,TRP4
Mycth_105072,CLG1
Mycth_105128,
Mycth_105130,
Mycth_105157,
Mycth_105197,YNL155W
Mycth_105286,
Mycth_105318,
Mycth_105405,RPL37B
Mycth_105482,CEM1
Mycth_105575,MEP3
Mycth_105600,
Mycth_105650,UBC11
Mycth_105669,
Mycth_105777,
Mycth_105786,YNG2
Mycth_105822,NSR1
Mycth_105847,ERG10
Mycth_105869,YAE1
Mycth_105966,
Mycth_10609,SAS2
Mycth_106293,SLA1
Mycth_106343,
Mycth_106346,
Mycth_106388,HST2
Mycth_106442,
Mycth_106463,
Mycth_106502,
Mycth_106527,SLN1
Mycth_106599,
Mycth_106609,
Mycth_106618,NAM7
Mycth_106768,HBN1
Mycth_106798,
Mycth_106819,GAS1
Mycth_106827,
Mycth_106950,
Mycth_107095,
Mycth_10713,
Mycth_107134,
Mycth_107142,YRB1
Mycth_107168,
Mycth_107178,
Mycth_107186,
Mycth_107255,RAD28
Mycth_107295,
Mycth_107458,
Mycth_107520,
Mycth_107580,ATM1
Mycth_107689,
Mycth_107723,HAT1
Mycth_107763,
Mycth_107796,DDR48
Mycth_107866,
Mycth_107891,PRP19
Mycth_107972,
Mycth_107976,CRG1
Mycth_108044,SNF3
Mycth_108061,
Mycth_108098,
Mycth_108115,POT1
Mycth_108157,
Mycth_108294,DIT2
Mycth_108304,BLM10
Mycth_108314,
Mycth_108317,CEM1
Mycth_108391,GAS5
Mycth_108407,
Mycth_108416,
Mycth_108475,BSC6
Mycth_108493,
Mycth_108501,COP1
Mycth_108504,RSC1
Mycth_108565,SSO2
Mycth_108615,
Mycth_108627,
Mycth_108765,
Mycth_108781,
Mycth_108836,
Mycth_108890,GAL2
Mycth_108924,GAL2
Mycth_109046,
Mycth_109078,RAT1
Mycth_109194,STL1
Mycth_109232,
Mycth_109373,RAD14
Mycth_109377,
Mycth_109444,
Mycth_109499,ARN2
Mycth_109510,
Mycth_109530,
Mycth_109533,GOR1
Mycth_109542,
Mycth_109566,
Mycth_109620,OLE1
Mycth_109638,ERG25
Mycth_109756,
Mycth_109790,
Mycth_109795,
Mycth_109817,ADA2
Mycth_109821,
Mycth_109870,
Mycth_109876,SEM1
Mycth_109897,
Mycth_109914,
Mycth_10995,HST1
Mycth_109978,LEU4
Mycth_110022,YPR1
Mycth_110028,TYE7
Mycth_110038,
Mycth_110042,BXI1
Mycth_110061,
Mycth_110187,ERG11
Mycth_110298,
Mycth_110317,MDH2
Mycth_110470,
Mycth_110475,
Mycth_110510,
Mycth_110532,
Mycth_110536,RPB4
Mycth_110640,
Mycth_110651,
Mycth_110670,ERG6
Mycth_110674,
Mycth_110717,EGD1
Mycth_110792,MOH1
Mycth_110806,
Mycth_110817,RPP1B
Mycth_110821,SPS2
Mycth_110871,ICL1
Mycth_110897,GID7
Mycth_110931,FDH1
Mycth_110951,
Mycth_110956,MET10
Mycth_111030,
Mycth_111035,ECM14
Mycth_111036,
Mycth_111073,
Mycth_111088,
Mycth_111107,NAP1
Mycth_111172,
Mycth_111173,
Mycth_111214,ERG4
Mycth_111314,
Mycth_111331,POT1
Mycth_111372,
Mycth_111377,
Mycth_111388,
Mycth_111405,HHF2
Mycth_111425,RPL2B
Mycth_111604,PHO13
Mycth_111645,
Mycth_111741,STB5
Mycth_111770,COX9
Mycth_111814,PCT1
Mycth_111845,
Mycth_111934,ERG13
